rank,candidate,candidate_name,entity_type,number_of_amr_determinants,number_of_strains,layers_supported,minimum_path_length,evidence_types,n_direct_observations,n_graph_derived,n_annotation_mediated,n_inferred,n_directly_measured_strains,strains,determinants,repeated_across_strains,determinant_fraction,hub_candidate,p_value,q_value,enrichment_significant
237,EW035_RS06620,tkt,gene,7,1,genome,2,annotation_mediated,0,0,7,0,1,MS_14386,blaTEM-1b; blaTEM-215; dfrA12; dfrA14; floR; sul2; sul3,False,0.5384615384615384,False,0.0037433963085100152,0.15134016504404776,False
238,EW035_RS00470,yibN,gene,7,1,genome,2,annotation_mediated,0,0,7,0,1,MS_14386,blaTEM-1b; blaTEM-215; dfrA12; dfrA14; floR; sul2; sul3,False,0.5384615384615384,False,0.0037433963085100152,0.15134016504404776,False
239,EW035_RS00685,malS,gene,7,1,genome,2,annotation_mediated,0,0,7,0,1,MS_14386,blaTEM-1b; blaTEM-215; dfrA12; dfrA14; floR; sul2; sul3,False,0.5384615384615384,False,0.0037433963085100152,0.15134016504404776,False
240,EW035_RS01535,glgB,gene,7,1,genome,2,annotation_mediated,0,0,7,0,1,MS_14386,blaTEM-1b; blaTEM-215; dfrA12; dfrA14; floR; sul2; sul3,False,0.5384615384615384,False,0.0037433963085100152,0.15134016504404776,False
241,EW035_RS06430,upp,gene,7,1,genome,2,annotation_mediated,0,0,7,0,1,MS_14386,aadA1; aph(3')-Ia; blaTEM-215; dfrA12; dfrA14; sul2; sul3,False,0.5384615384615384,False,0.0037433963085100152,0.15134016504404776,False
242,EW035_RS07445,yfbR,gene,7,1,genome,2,annotation_mediated,0,0,7,0,1,MS_14386,aadA1; aph(3')-Ia; blaTEM-215; dfrA12; dfrA14; sul2; sul3,False,0.5384615384615384,False,0.0037433963085100152,0.15134016504404776,False
243,EW035_RS00285,spoT,gene,7,1,genome,2,annotation_mediated,0,0,7,0,1,MS_14386,aadA1; aph(3')-Ia; dfrA12; dfrA14; strAB; sul2; sul3,False,0.5384615384615384,False,0.0037433963085100152,0.15134016504404776,False
244,EW035_RS00295,gmk,gene,7,1,genome,2,annotation_mediated,0,0,7,0,1,MS_14386,aadA1; aph(3')-Ia; dfrA12; dfrA14; strAB; sul2; sul3,False,0.5384615384615384,False,0.0037433963085100152,0.15134016504404776,False
245,EW035_RS00325,pyrE,gene,7,1,genome,2,annotation_mediated,0,0,7,0,1,MS_14386,aadA1; aph(3')-Ia; dfrA12; dfrA14; strAB; sul2; sul3,False,0.5384615384615384,False,0.0037433963085100152,0.15134016504404776,False
246,EW035_RS00340,coaBC,gene,7,1,genome,2,annotation_mediated,0,0,7,0,1,MS_14386,aadA1; aph(3')-Ia; dfrA12; dfrA14; strAB; sul2; sul3,False,0.5384615384615384,False,0.0037433963085100152,0.15134016504404776,False
247,EW035_RS00365,coaD,gene,7,1,genome,2,annotation_mediated,0,0,7,0,1,MS_14386,aadA1; aph(3')-Ia; dfrA12; dfrA14; strAB; sul2; sul3,False,0.5384615384615384,False,0.0037433963085100152,0.15134016504404776,False
248,EW035_RS00385,rfaP,gene,7,1,genome,2,annotation_mediated,0,0,7,0,1,MS_14386,aadA1; aph(3')-Ia; dfrA12; dfrA14; strAB; sul2; sul3,False,0.5384615384615384,False,0.0037433963085100152,0.15134016504404776,False
249,EW035_RS00430,rfaD,gene,7,1,genome,2,annotation_mediated,0,0,7,0,1,MS_14386,aadA1; aph(3')-Ia; dfrA12; dfrA14; strAB; sul2; sul3,False,0.5384615384615384,False,0.0037433963085100152,0.15134016504404776,False
250,EW035_RS01545,glgC,gene,7,1,genome,2,annotation_mediated,0,0,7,0,1,MS_14386,aadA1; aph(3')-Ia; dfrA12; dfrA14; strAB; sul2; sul3,False,0.5384615384615384,False,0.0037433963085100152,0.15134016504404776,False
251,EW035_RS01550,glgA,gene,7,1,genome,2,annotation_mediated,0,0,7,0,1,MS_14386,aadA1; aph(3')-Ia; dfrA12; dfrA14; strAB; sul2; sul3,False,0.5384615384615384,False,0.0037433963085100152,0.15134016504404776,False
252,EW035_RS03105,tdcD,gene,7,1,genome,2,annotation_mediated,0,0,7,0,1,MS_14386,aadA1; aph(3')-Ia; dfrA12; dfrA14; strAB; sul2; sul3,False,0.5384615384615384,False,0.0037433963085100152,0.15134016504404776,False
253,EW035_RS03435,hldE,gene,7,1,genome,2,annotation_mediated,0,0,7,0,1,MS_14386,aadA1; aph(3')-Ia; dfrA12; dfrA14; strAB; sul2; sul3,False,0.5384615384615384,False,0.0037433963085100152,0.15134016504404776,False
254,EW035_RS04020,gshB,gene,7,1,genome,2,annotation_mediated,0,0,7,0,1,MS_14386,aadA1; aph(3')-Ia; dfrA12; dfrA14; strAB; sul2; sul3,False,0.5384615384615384,False,0.0037433963085100152,0.15134016504404776,False
255,EW035_RS04390,guaD,gene,7,1,genome,2,annotation_mediated,0,0,7,0,1,MS_14386,aadA1; aph(3')-Ia; dfrA12; dfrA14; strAB; sul2; sul3,False,0.5384615384615384,False,0.0037433963085100152,0.15134016504404776,False
256,EW035_RS04440,hyuA,gene,7,1,genome,2,annotation_mediated,0,0,7,0,1,MS_14386,aadA1; aph(3')-Ia; dfrA12; dfrA14; strAB; sul2; sul3,False,0.5384615384615384,False,0.0037433963085100152,0.15134016504404776,False
257,EW035_RS04470,xdhB,gene,7,1,genome,2,annotation_mediated,0,0,7,0,1,MS_14386,aadA1; aph(3')-Ia; dfrA12; dfrA14; strAB; sul2; sul3,False,0.5384615384615384,False,0.0037433963085100152,0.15134016504404776,False
258,EW035_RS04475,xdhA,gene,7,1,genome,2,annotation_mediated,0,0,7,0,1,MS_14386,aadA1; aph(3')-Ia; dfrA12; dfrA14; strAB; sul2; sul3,False,0.5384615384615384,False,0.0037433963085100152,0.15134016504404776,False
259,EW035_RS04730,thyA,gene,7,1,genome,2,annotation_mediated,0,0,7,0,1,MS_14386,aadA1; aph(3')-Ia; dfrA12; dfrA14; strAB; sul2; sul3,False,0.5384615384615384,False,0.0037433963085100152,0.15134016504404776,False
260,EW035_RS05130,mazG,gene,7,1,genome,2,annotation_mediated,0,0,7,0,1,MS_14386,aadA1; aph(3')-Ia; dfrA12; dfrA14; strAB; sul2; sul3,False,0.5384615384615384,False,0.0037433963085100152,0.15134016504404776,False
261,EW035_RS05155,queE,gene,7,1,genome,2,annotation_mediated,0,0,7,0,1,MS_14386,aadA1; aph(3')-Ia; dfrA12; dfrA14; strAB; sul2; sul3,False,0.5384615384615384,False,0.0037433963085100152,0.15134016504404776,False
262,EW035_RS05305,cysC,gene,7,1,genome,2,annotation_mediated,0,0,7,0,1,MS_14386,aadA1; aph(3')-Ia; dfrA12; dfrA14; strAB; sul2; sul3,False,0.5384615384615384,False,0.0037433963085100152,0.15134016504404776,False
263,EW035_RS05335,surE,gene,7,1,genome,2,annotation_mediated,0,0,7,0,1,MS_14386,aadA1; aph(3')-Ia; dfrA12; dfrA14; strAB; sul2; sul3,False,0.5384615384615384,False,0.0037433963085100152,0.15134016504404776,False
264,EW035_RS05635,luxS,gene,7,1,genome,2,annotation_mediated,0,0,7,0,1,MS_14386,aadA1; aph(3')-Ia; dfrA12; dfrA14; strAB; sul2; sul3,False,0.5384615384615384,False,0.0037433963085100152,0.15134016504404776,False
265,EW035_RS05690,nrdE,gene,7,1,genome,2,annotation_mediated,0,0,7,0,1,MS_14386,aadA1; aph(3')-Ia; dfrA12; dfrA14; strAB; sul2; sul3,False,0.5384615384615384,False,0.0037433963085100152,0.15134016504404776,False
266,EW035_RS05835,nadK,gene,7,1,genome,2,annotation_mediated,0,0,7,0,1,MS_14386,aadA1; aph(3')-Ia; dfrA12; dfrA14; strAB; sul2; sul3,False,0.5384615384615384,False,0.0037433963085100152,0.15134016504404776,False
267,EW035_RS06380,guaB,gene,7,1,genome,2,annotation_mediated,0,0,7,0,1,MS_14386,aadA1; aph(3')-Ia; dfrA12; dfrA14; strAB; sul2; sul3,False,0.5384615384615384,False,0.0037433963085100152,0.15134016504404776,False
268,EW035_RS06385,guaA,gene,7,1,genome,2,annotation_mediated,0,0,7,0,1,MS_14386,aadA1; aph(3')-Ia; dfrA12; dfrA14; strAB; sul2; sul3,False,0.5384615384615384,False,0.0037433963085100152,0.15134016504404776,False
269,WP_001051798.1,rpmG,protein,6,4,proteome,2,annotation_mediated,0,0,6,0,0,B36; MS_14384; MS_14386; MS_14387,aac(3)-IId; aac(6')-Ib-cr5; blaCMY-2; blaOXA-1; blaTEM-1b,True,0.46153846153846156,False,0.00570858542638573,0.21971203589073396,False
270,WP_001061917.1,rcsB,protein,6,4,proteome,2,annotation_mediated,0,0,6,0,0,B36; MS_14384; MS_14386; MS_14387,aac(3)-IId; aac(6')-Ib-cr5; blaCMY-2; blaOXA-1; blaTEM-1b,True,0.46153846153846156,False,0.00570858542638573,0.21971203589073396,False
271,WP_001203437.1,bamE,protein,6,4,proteome,2,annotation_mediated,0,0,6,0,0,B36; MS_14384; MS_14386; MS_14387,aac(3)-IId; aac(6')-Ib-cr5; blaCMY-2; blaOXA-1; blaTEM-1b,True,0.46153846153846156,False,0.00570858542638573,0.21971203589073396,False
272,WP_000378442.1,emrR,protein,6,3,proteome,2,annotation_mediated,0,0,6,0,0,MS_14384; MS_14386; MS_14387,aac(3)-IId; aph(3')-Ia; blaCMY-2; blaTEM-1b; strAB,True,0.46153846153846156,False,0.00570858542638573,0.21971203589073396,False
273,WP_000653944.1,rpoC,protein,6,3,proteome,2,annotation_mediated,0,0,6,0,0,MS_14384; MS_14386; MS_14387,aac(3)-IId; aph(3')-Ia; blaCMY-2; blaTEM-1b; strAB,True,0.46153846153846156,False,0.00570858542638573,0.21971203589073396,False
274,WP_000551270.1,msbA,protein,6,2,proteome,2,annotation_mediated,0,0,6,0,0,MS_14384; MS_14386,aac(3)-IId; aph(3')-Ia; blaCMY-2; blaTEM-1b; blaTEM-215; strAB,True,0.46153846153846156,False,0.00570858542638573,0.21971203589073396,False
275,EW035_RS06605,aegA,gene,6,1,genome,2,annotation_mediated,0,0,6,0,1,MS_14386,blaTEM-1b; blaTEM-215; dfrA12; dfrA14; sul2; sul3,False,0.46153846153846156,False,0.01415478570149891,0.41523581713360525,False
276,EW035_RS06770,ucpA,gene,6,1,genome,2,annotation_mediated,0,0,6,0,1,MS_14386,blaTEM-1b; blaTEM-215; dfrA12; dfrA14; sul2; sul3,False,0.46153846153846156,False,0.01415478570149891,0.41523581713360525,False
277,EW035_RS07195,fadI,gene,6,1,genome,2,annotation_mediated,0,0,6,0,1,MS_14386,blaTEM-1b; blaTEM-215; dfrA12; dfrA14; sul2; sul3,False,0.46153846153846156,False,0.01415478570149891,0.41523581713360525,False
278,EW035_RS07200,fadJ,gene,6,1,genome,2,annotation_mediated,0,0,6,0,1,MS_14386,blaTEM-1b; blaTEM-215; dfrA12; dfrA14; sul2; sul3,False,0.46153846153846156,False,0.01415478570149891,0.41523581713360525,False
279,EW035_RS07320,accD,gene,6,1,genome,2,annotation_mediated,0,0,6,0,1,MS_14386,blaTEM-1b; blaTEM-215; dfrA12; dfrA14; sul2; sul3,False,0.46153846153846156,False,0.01415478570149891,0.41523581713360525,False
280,EW035_RS07405,yfcD,gene,6,1,genome,2,annotation_mediated,0,0,6,0,1,MS_14386,blaTEM-1b; blaTEM-215; dfrA12; dfrA14; sul2; sul3,False,0.46153846153846156,False,0.01415478570149891,0.41523581713360525,False
281,EW035_RS07555,menF,gene,6,1,genome,2,annotation_mediated,0,0,6,0,1,MS_14386,blaTEM-1b; blaTEM-215; dfrA12; dfrA14; sul2; sul3,False,0.46153846153846156,False,0.01415478570149891,0.41523581713360525,False
282,EW035_RS07655,glpC,gene,6,1,genome,2,annotation_mediated,0,0,6,0,1,MS_14386,blaTEM-1b; blaTEM-215; dfrA12; dfrA14; sul2; sul3,False,0.46153846153846156,False,0.01415478570149891,0.41523581713360525,False
283,EW035_RS00585,aldB,gene,6,1,genome,2,annotation_mediated,0,0,6,0,1,MS_14386,blaTEM-1b; blaTEM-215; dfrA12; dfrA14; sul2; sul3,False,0.46153846153846156,False,0.01415478570149891,0.41523581713360525,False
284,EW035_RS03060,garR,gene,6,1,genome,2,annotation_mediated,0,0,6,0,1,MS_14386,blaTEM-1b; blaTEM-215; dfrA12; dfrA14; sul2; sul3,False,0.46153846153846156,False,0.01415478570149891,0.41523581713360525,False
285,EW035_RS03520,nudF,gene,6,1,genome,2,annotation_mediated,0,0,6,0,1,MS_14386,blaTEM-1b; blaTEM-215; dfrA12; dfrA14; sul2; sul3,False,0.46153846153846156,False,0.01415478570149891,0.41523581713360525,False
286,EW035_RS00400,rfaY,gene,6,1,genome,2,annotation_mediated,0,0,6,0,1,MS_14386,aac(3)-IId; dfrA12; dfrA14; mph(A); sul2; sul3,False,0.46153846153846156,False,0.01415478570149891,0.41523581713360525,False
287,EW035_RS01645,bioH,gene,6,1,genome,2,annotation_mediated,0,0,6,0,1,MS_14386,aac(3)-IId; dfrA12; dfrA14; mph(A); sul2; sul3,False,0.46153846153846156,False,0.01415478570149891,0.41523581713360525,False
288,EW035_RS01720,yrfG,gene,6,1,genome,2,annotation_mediated,0,0,6,0,1,MS_14386,aac(3)-IId; dfrA12; dfrA14; mph(A); sul2; sul3,False,0.46153846153846156,False,0.01415478570149891,0.41523581713360525,False
289,EW035_RS02680,kdsC,gene,6,1,genome,2,annotation_mediated,0,0,6,0,1,MS_14386,aac(3)-IId; dfrA12; dfrA14; mph(A); sul2; sul3,False,0.46153846153846156,False,0.01415478570149891,0.41523581713360525,False
290,EW035_RS03530,cpdA,gene,6,1,genome,2,annotation_mediated,0,0,6,0,1,MS_14386,aac(3)-IId; dfrA12; dfrA14; mph(A); sul2; sul3,False,0.46153846153846156,False,0.01415478570149891,0.41523581713360525,False
291,EW035_RS05060,ppnN,gene,6,1,genome,2,annotation_mediated,0,0,6,0,1,MS_14386,aac(3)-IId; dfrA12; dfrA14; mph(A); sul2; sul3,False,0.46153846153846156,False,0.01415478570149891,0.41523581713360525,False
292,EW035_RS05570,pncC,gene,6,1,genome,2,annotation_mediated,0,0,6,0,1,MS_14386,aac(3)-IId; dfrA12; dfrA14; mph(A); sul2; sul3,False,0.46153846153846156,False,0.01415478570149891,0.41523581713360525,False
293,EW035_RS06760,murQ,gene,6,1,genome,2,annotation_mediated,0,0,6,0,1,MS_14386,aac(3)-IId; dfrA12; dfrA14; mph(A); sul2; sul3,False,0.46153846153846156,False,0.01415478570149891,0.41523581713360525,False
294,EW035_RS02930,diaA,gene,6,1,genome,2,annotation_mediated,0,0,6,0,1,MS_14386,aadA1; dfrA12; dfrA14; strAB; sul2; sul3,False,0.46153846153846156,False,0.01415478570149891,0.41523581713360525,False
295,EW035_RS07420,ackA,gene,6,1,genome,2,annotation_mediated,0,0,6,0,1,MS_14386,aadA1; aph(3')-Ia; dfrA12; dfrA14; sul2; sul3,False,0.46153846153846156,False,0.01415478570149891,0.41523581713360525,False
296,EW035_RS07700,nrdB,gene,6,1,genome,2,annotation_mediated,0,0,6,0,1,MS_14386,aadA1; aph(3')-Ia; dfrA12; dfrA14; sul2; sul3,False,0.46153846153846156,False,0.01415478570149891,0.41523581713360525,False
297,EW035_RS07705,nrdA,gene,6,1,genome,2,annotation_mediated,0,0,6,0,1,MS_14386,aadA1; aph(3')-Ia; dfrA12; dfrA14; sul2; sul3,False,0.46153846153846156,False,0.01415478570149891,0.41523581713360525,False
298,EW035_RS00490,cysE,gene,6,1,genome,2,annotation_mediated,0,0,6,0,1,MS_14386,dfrA12; dfrA14; floR; fosA4; sul2; sul3,False,0.46153846153846156,False,0.01415478570149891,0.41523581713360525,False
299,EW035_RS03630,metC,gene,6,1,genome,2,annotation_mediated,0,0,6,0,1,MS_14386,dfrA12; dfrA14; floR; fosA4; sul2; sul3,False,0.46153846153846156,False,0.01415478570149891,0.41523581713360525,False
300,EW035_RS03725,gss,gene,6,1,genome,2,annotation_mediated,0,0,6,0,1,MS_14386,dfrA12; dfrA14; floR; fosA4; sul2; sul3,False,0.46153846153846156,False,0.01415478570149891,0.41523581713360525,False
301,EW035_RS03775,spt,gene,6,1,genome,2,annotation_mediated,0,0,6,0,1,MS_14386,dfrA12; dfrA14; floR; fosA4; sul2; sul3,False,0.46153846153846156,False,0.01415478570149891,0.41523581713360525,False
302,EW035_RS04075,speB,gene,6,1,genome,2,annotation_mediated,0,0,6,0,1,MS_14386,dfrA12; dfrA14; floR; fosA4; sul2; sul3,False,0.46153846153846156,False,0.01415478570149891,0.41523581713360525,False
303,EW035_RS04435,arcC,gene,6,1,genome,2,annotation_mediated,0,0,6,0,1,MS_14386,dfrA12; dfrA14; floR; fosA4; sul2; sul3,False,0.46153846153846156,False,0.01415478570149891,0.41523581713360525,False
304,EW035_RS04445,ygeY,gene,6,1,genome,2,annotation_mediated,0,0,6,0,1,MS_14386,dfrA12; dfrA14; floR; fosA4; sul2; sul3,False,0.46153846153846156,False,0.01415478570149891,0.41523581713360525,False
305,EW035_RS04985,csdA,gene,6,1,genome,2,annotation_mediated,0,0,6,0,1,MS_14386,dfrA12; dfrA14; floR; fosA4; sul2; sul3,False,0.46153846153846156,False,0.01415478570149891,0.41523581713360525,False
306,EW035_RS05215,cysJ,gene,6,1,genome,2,annotation_mediated,0,0,6,0,1,MS_14386,dfrA12; dfrA14; floR; fosA4; sul2; sul3,False,0.46153846153846156,False,0.01415478570149891,0.41523581713360525,False
307,EW035_RS05225,cysH,gene,6,1,genome,2,annotation_mediated,0,0,6,0,1,MS_14386,dfrA12; dfrA14; floR; fosA4; sul2; sul3,False,0.46153846153846156,False,0.01415478570149891,0.41523581713360525,False
308,EW035_RS05755,gabT,gene,6,1,genome,2,annotation_mediated,0,0,6,0,1,MS_14386,dfrA12; dfrA14; floR; fosA4; sul2; sul3,False,0.46153846153846156,False,0.01415478570149891,0.41523581713360525,False
309,EW035_RS06270,iscS,gene,6,1,genome,2,annotation_mediated,0,0,6,0,1,MS_14386,dfrA12; dfrA14; floR; fosA4; sul2; sul3,False,0.46153846153846156,False,0.01415478570149891,0.41523581713360525,False
310,EW035_RS06305,pepB,gene,6,1,genome,2,annotation_mediated,0,0,6,0,1,MS_14386,dfrA12; dfrA14; floR; fosA4; sul2; sul3,False,0.46153846153846156,False,0.01415478570149891,0.41523581713360525,False
311,EW035_RS06580,dapE,gene,6,1,genome,2,annotation_mediated,0,0,6,0,1,MS_14386,dfrA12; dfrA14; floR; fosA4; sul2; sul3,False,0.46153846153846156,False,0.01415478570149891,0.41523581713360525,False
312,EW035_RS06695,eutB,gene,6,1,genome,2,annotation_mediated,0,0,6,0,1,MS_14386,dfrA12; dfrA14; floR; fosA4; sul2; sul3,False,0.46153846153846156,False,0.01415478570149891,0.41523581713360525,False
313,EW035_RS06700,eutC,gene,6,1,genome,2,annotation_mediated,0,0,6,0,1,MS_14386,dfrA12; dfrA14; floR; fosA4; sul2; sul3,False,0.46153846153846156,False,0.01415478570149891,0.41523581713360525,False
314,WP_000117262.1,nan,protein,5,3,proteome,2,annotation_mediated,0,0,5,0,0,B36; MS_14384; MS_14387,blaCMY-2; blaCTX-M-15; blaOXA-1; blaTEM-1b; strAB,True,0.38461538461538464,False,0.022674003416005152,0.6532013798467113,False
315,WP_000918166.1,mrcB,protein,5,3,proteome,2,annotation_mediated,0,0,5,0,0,MS_14384; MS_14386; MS_14387,aac(3)-IId; aph(3')-Ia; blaCMY-2; blaTEM-1b,True,0.38461538461538464,False,0.022674003416005152,0.6532013798467113,False
316,WP_000172005.1,ampE,protein,5,2,proteome,2,annotation_mediated,0,0,5,0,0,MS_14386; MS_14387,aac(3)-IId; blaTEM-1b; blaTEM-215; strAB,True,0.38461538461538464,False,0.022674003416005152,0.6532013798467113,False
317,EW036_RS04860,ansB,gene,5,1,genome,2,annotation_mediated,0,0,5,0,1,B36,aac(6')-Ib-cr5; blaOXA-1; dfrA17; sul1; tet(A),False,0.38461538461538464,False,0.04653523864888741,0.8550645935707271,False
318,EW036_RS08045,alaA,gene,5,1,genome,2,annotation_mediated,0,0,5,0,1,B36,blaCTX-M-15; blaOXA-1; dfrA17; sul1; tet(A),False,0.38461538461538464,False,0.04653523864888741,0.8550645935707271,False
319,EW036_RS08695,aspC,gene,5,1,genome,2,annotation_mediated,0,0,5,0,1,B36,blaCTX-M-15; blaOXA-1; dfrA17; sul1; tet(A),False,0.38461538461538464,False,0.04653523864888741,0.8550645935707271,False
320,EW036_RS07385,murQ,gene,5,1,genome,2,annotation_mediated,0,0,5,0,1,B36,aadA5; blaCTX-M-15; dfrA17; mph(A); sul1,False,0.38461538461538464,False,0.04653523864888741,0.8550645935707271,False
321,EW035_RS01010,mdtF,gene,5,1,genome,2,annotation_mediated,0,0,5,0,1,MS_14386,aac(3)-IId; aadA1; blaTEM-1b; blaTEM-215; strAB,False,0.38461538461538464,False,0.04653523864888741,0.8550645935707271,False
322,EW035_RS01300,rbbA,gene,5,1,genome,2,annotation_mediated,0,0,5,0,1,MS_14386,aac(3)-IId; aadA1; blaTEM-1b; blaTEM-215; strAB,False,0.38461538461538464,False,0.04653523864888741,0.8550645935707271,False
323,EW035_RS05075,yqcC,gene,5,1,genome,2,annotation_mediated,0,0,5,0,1,MS_14386,aac(3)-IId; blaTEM-1b; blaTEM-215; mph(A); strAB,False,0.38461538461538464,False,0.04653523864888741,0.8550645935707271,False
324,EW035_RS05645,emrA,gene,5,1,genome,2,annotation_mediated,0,0,5,0,1,MS_14386,aac(3)-IId; aadA1; blaTEM-1b; blaTEM-215; strAB,False,0.38461538461538464,False,0.04653523864888741,0.8550645935707271,False
325,EW035_RS06750,pbp4b,gene,5,1,genome,2,annotation_mediated,0,0,5,0,1,MS_14386,aac(3)-IId; aadA1; blaTEM-1b; blaTEM-215; strAB,False,0.38461538461538464,False,0.04653523864888741,0.8550645935707271,False
326,EW035_RS08495,mdtB,gene,5,1,genome,2,annotation_mediated,0,0,5,0,1,MS_14386,aac(3)-IId; aadA1; blaTEM-1b; blaTEM-215; strAB,False,0.38461538461538464,False,0.04653523864888741,0.8550645935707271,False
327,EW035_RS10945,ydhJ,gene,5,1,genome,2,annotation_mediated,0,0,5,0,1,MS_14386,aac(3)-IId; aadA1; blaTEM-1b; blaTEM-215; strAB,False,0.38461538461538464,False,0.04653523864888741,0.8550645935707271,False
328,EW035_RS13105,ldcA,gene,5,1,genome,2,annotation_mediated,0,0,5,0,1,MS_14386,aac(3)-IId; aadA1; blaTEM-1b; blaTEM-215; strAB,False,0.38461538461538464,False,0.04653523864888741,0.8550645935707271,False
329,EW035_RS13375,lolD,gene,5,1,genome,2,annotation_mediated,0,0,5,0,1,MS_14386,aac(3)-IId; aadA1; blaTEM-1b; blaTEM-215; strAB,False,0.38461538461538464,False,0.04653523864888741,0.8550645935707271,False
330,EW035_RS14355,msbA,gene,5,1,genome,2,annotation_mediated,0,0,5,0,1,MS_14386,aac(3)-IId; aadA1; blaTEM-1b; blaTEM-215; strAB,False,0.38461538461538464,False,0.04653523864888741,0.8550645935707271,False
331,EW035_RS14740,macB,gene,5,1,genome,2,annotation_mediated,0,0,5,0,1,MS_14386,aac(3)-IId; aadA1; blaTEM-1b; blaTEM-215; strAB,False,0.38461538461538464,False,0.04653523864888741,0.8550645935707271,False
332,EW035_RS14800,amiD,gene,5,1,genome,2,annotation_mediated,0,0,5,0,1,MS_14386,aac(3)-IId; aadA1; blaTEM-1b; blaTEM-215; strAB,False,0.38461538461538464,False,0.04653523864888741,0.8550645935707271,False
333,EW035_RS15425,ybhR,gene,5,1,genome,2,annotation_mediated,0,0,5,0,1,MS_14386,aac(3)-IId; aadA1; blaTEM-1b; blaTEM-215; strAB,False,0.38461538461538464,False,0.04653523864888741,0.8550645935707271,False
334,EW035_RS17000,acrB,gene,5,1,genome,2,annotation_mediated,0,0,5,0,1,MS_14386,aac(3)-IId; aadA1; blaTEM-1b; blaTEM-215; strAB,False,0.38461538461538464,False,0.04653523864888741,0.8550645935707271,False
335,EW035_RS18910,yadG,gene,5,1,genome,2,annotation_mediated,0,0,5,0,1,MS_14386,aac(3)-IId; aadA1; blaTEM-1b; blaTEM-215; strAB,False,0.38461538461538464,False,0.04653523864888741,0.8550645935707271,False
336,EW035_RS18990,ampE,gene,5,1,genome,2,annotation_mediated,0,0,5,0,1,MS_14386,aac(3)-IId; aadA1; blaTEM-1b; blaTEM-215; strAB,False,0.38461538461538464,False,0.04653523864888741,0.8550645935707271,False
337,EW035_RS18995,ampD,gene,5,1,genome,2,annotation_mediated,0,0,5,0,1,MS_14386,aac(3)-IId; aadA1; blaTEM-1b; blaTEM-215; strAB,False,0.38461538461538464,False,0.04653523864888741,0.8550645935707271,False
338,EW035_RS19850,nan,gene,5,1,genome,2,annotation_mediated,0,0,5,0,1,MS_14386,aac(3)-IId; aadA1; blaTEM-1b; blaTEM-215; strAB,False,0.38461538461538464,False,0.04653523864888741,0.8550645935707271,False
339,EW035_RS19855,nan,gene,5,1,genome,2,annotation_mediated,0,0,5,0,1,MS_14386,aac(3)-IId; aadA1; blaTEM-1b; blaTEM-215; strAB,False,0.38461538461538464,False,0.04653523864888741,0.8550645935707271,False
340,EW035_RS19860,nan,gene,5,1,genome,2,annotation_mediated,0,0,5,0,1,MS_14386,aac(3)-IId; aadA1; blaTEM-1b; blaTEM-215; strAB,False,0.38461538461538464,False,0.04653523864888741,0.8550645935707271,False
341,EW035_RS19865,nan,gene,5,1,genome,2,annotation_mediated,0,0,5,0,1,MS_14386,aac(3)-IId; aadA1; blaTEM-1b; blaTEM-215; strAB,False,0.38461538461538464,False,0.04653523864888741,0.8550645935707271,False
342,EW035_RS20920,ampC,gene,5,1,genome,2,annotation_mediated,0,0,5,0,1,MS_14386,aac(3)-IId; aadA1; blaTEM-1b; blaTEM-215; strAB,False,0.38461538461538464,False,0.04653523864888741,0.8550645935707271,False
343,EW035_RS01205,cusF,gene,5,1,genome,2,annotation_mediated,0,0,5,0,1,MS_14386,aac(3)-IId; blaTEM-1b; blaTEM-215; mph(A); strAB,False,0.38461538461538464,False,0.04653523864888741,0.8550645935707271,False
344,EW035_RS06630,maeB,gene,5,1,genome,2,annotation_mediated,0,0,5,0,1,MS_14386,blaTEM-215; dfrA12; dfrA14; sul2; sul3,False,0.38461538461538464,False,0.04653523864888741,0.8550645935707271,False
345,EW035_RS07300,pdxB,gene,5,1,genome,2,annotation_mediated,0,0,5,0,1,MS_14386,blaTEM-215; dfrA12; dfrA14; sul2; sul3,False,0.38461538461538464,False,0.04653523864888741,0.8550645935707271,False
346,EW035_RS07325,folC,gene,5,1,genome,2,annotation_mediated,0,0,5,0,1,MS_14386,blaTEM-215; dfrA12; dfrA14; sul2; sul3,False,0.38461538461538464,False,0.04653523864888741,0.8550645935707271,False
347,EW035_RS07345,ubiX,gene,5,1,genome,2,annotation_mediated,0,0,5,0,1,MS_14386,blaTEM-215; dfrA12; dfrA14; sul2; sul3,False,0.38461538461538464,False,0.04653523864888741,0.8550645935707271,False
348,EW035_RS07560,menD,gene,5,1,genome,2,annotation_mediated,0,0,5,0,1,MS_14386,blaTEM-215; dfrA12; dfrA14; sul2; sul3,False,0.38461538461538464,False,0.04653523864888741,0.8550645935707271,False
349,EW035_RS06910,gltX,gene,5,1,genome,2,annotation_mediated,0,0,5,0,1,MS_14386,aadA1; dfrA12; dfrA14; sul2; sul3,False,0.38461538461538464,False,0.04653523864888741,0.8550645935707271,False
350,EW035_RS00370,waaA,gene,5,1,genome,2,annotation_mediated,0,0,5,0,1,MS_14386,dfrA12; dfrA14; strAB; sul2; sul3,False,0.38461538461538464,False,0.04653523864888741,0.8550645935707271,False
