strain,amr_determinant,amr_class,source_entity,source_layer,target_entity,target_layer,relationship,path_length,node_sequence,edge_sequence,evidence_type,evidence_source,observed_status
B36,tet(A),tetracycline,EW036_RS26095,genome,EW036_RS01785,genome,graph_context,2,EW036_RS26095;COG_P: Inorganic ion transport and metabolism;EW036_RS01785,member_of_cog_category;member_of_cog_category,annotation_mediated,bounded_BFS (<= 4 hops),annotation_mediated
B36,tet(A),tetracycline,EW036_RS26095,genome,EW036_RS01850,genome,graph_context,2,EW036_RS26095;COG_E: Amino acid transport and metabolism;EW036_RS01850,member_of_cog_category;member_of_cog_category,annotation_mediated,bounded_BFS (<= 4 hops),annotation_mediated
B36,tet(A),tetracycline,EW036_RS26095,genome,EW036_RS01855,genome,graph_context,2,EW036_RS26095;COG_G: Carbohydrate transport and metabolism;EW036_RS01855,member_of_cog_category;member_of_cog_category,annotation_mediated,bounded_BFS (<= 4 hops),annotation_mediated
B36,tet(A),tetracycline,EW036_RS26095,genome,EW036_RS01860,genome,graph_context,2,EW036_RS26095;COG_G: Carbohydrate transport and metabolism;EW036_RS01860,member_of_cog_category;member_of_cog_category,annotation_mediated,bounded_BFS (<= 4 hops),annotation_mediated
B36,tet(A),tetracycline,EW036_RS26095,genome,EW036_RS01875,genome,graph_context,2,EW036_RS26095;COG_G: Carbohydrate transport and metabolism;EW036_RS01875,member_of_cog_category;member_of_cog_category,annotation_mediated,bounded_BFS (<= 4 hops),annotation_mediated
B36,tet(A),tetracycline,EW036_RS26095,genome,EW036_RS01900,genome,graph_context,2,EW036_RS26095;COG_P: Inorganic ion transport and metabolism;EW036_RS01900,member_of_cog_category;member_of_cog_category,annotation_mediated,bounded_BFS (<= 4 hops),annotation_mediated
B36,tet(A),tetracycline,EW036_RS26095,genome,EW036_RS01930,genome,graph_context,2,EW036_RS26095;COG_G: Carbohydrate transport and metabolism;EW036_RS01930,member_of_cog_category;member_of_cog_category,annotation_mediated,bounded_BFS (<= 4 hops),annotation_mediated
B36,tet(A),tetracycline,EW036_RS26095,genome,EW036_RS01935,genome,graph_context,2,EW036_RS26095;COG_G: Carbohydrate transport and metabolism;EW036_RS01935,member_of_cog_category;member_of_cog_category,annotation_mediated,bounded_BFS (<= 4 hops),annotation_mediated
B36,tet(A),tetracycline,EW036_RS26095,genome,EW036_RS01970,genome,graph_context,2,EW036_RS26095;COG_P: Inorganic ion transport and metabolism;EW036_RS01970,member_of_cog_category;member_of_cog_category,annotation_mediated,bounded_BFS (<= 4 hops),annotation_mediated
B36,tet(A),tetracycline,EW036_RS26095,genome,EW036_RS01975,genome,graph_context,2,EW036_RS26095;COG_P: Inorganic ion transport and metabolism;EW036_RS01975,member_of_cog_category;member_of_cog_category,annotation_mediated,bounded_BFS (<= 4 hops),annotation_mediated
