Source Name	Characteristics[Organism]	Term Source REF	Term Accession Number	Characteristics[Organism part]	Term Source REF	Term Accession Number	Characteristics[Variant]	Term Source REF	Term Accession Number	Characteristics[Sample type]	Term Source REF	Term Accession Number	Protocol REF	Sample Name	Factor Value[Growth media]	Term Source REF	Term Accession Number	Factor Value[Isolation source]	Term Source REF	Term Accession Number	Factor Value[Serovar]	Term Source REF	Term Accession Number	Factor Value[Strain or isolate]	Term Source REF	Term Accession Number
102.100.100/50947	Escherichia coli	NCBITAXON	http://purl.obolibrary.org/obo/NCBITaxon_562	Whole Organism	NCIT	http://purl.obolibrary.org/obo/NCIT_C13413	Escherichia coli MS14385			experimental sample	CHMO	http://purl.obolibrary.org/obo/CHMO_0002746	Sample collection	102.100.100/50947	Pooled sera			Blood						MS14385		
102.100.100/50948	Escherichia coli	NCBITAXON	http://purl.obolibrary.org/obo/NCBITaxon_562	Whole Organism	NCIT	http://purl.obolibrary.org/obo/NCIT_C13413	Escherichia coli MS14385			experimental sample	CHMO	http://purl.obolibrary.org/obo/CHMO_0002746	Sample collection	102.100.100/50948	Pooled sera			Blood						MS14385		
102.100.100/50949	Escherichia coli	NCBITAXON	http://purl.obolibrary.org/obo/NCBITaxon_562	Whole Organism	NCIT	http://purl.obolibrary.org/obo/NCIT_C13413	Escherichia coli MS14386			experimental sample	CHMO	http://purl.obolibrary.org/obo/CHMO_0002746	Sample collection	102.100.100/50949	RPMI			Blood						MS14386		
102.100.100/50950	Escherichia coli	NCBITAXON	http://purl.obolibrary.org/obo/NCBITaxon_562	Whole Organism	NCIT	http://purl.obolibrary.org/obo/NCIT_C13413	Escherichia coli MS14386			experimental sample	CHMO	http://purl.obolibrary.org/obo/CHMO_0002746	Sample collection	102.100.100/50950	RPMI			Blood						MS14386		
102.100.100/50951	Escherichia coli	NCBITAXON	http://purl.obolibrary.org/obo/NCBITaxon_562	Whole Organism	NCIT	http://purl.obolibrary.org/obo/NCIT_C13413	Escherichia coli MS14386			experimental sample	CHMO	http://purl.obolibrary.org/obo/CHMO_0002746	Sample collection	102.100.100/50951	RPMI			Blood						MS14386		
102.100.100/50952	Escherichia coli	NCBITAXON	http://purl.obolibrary.org/obo/NCBITaxon_562	Whole Organism	NCIT	http://purl.obolibrary.org/obo/NCIT_C13413	Escherichia coli MS14386			experimental sample	CHMO	http://purl.obolibrary.org/obo/CHMO_0002746	Sample collection	102.100.100/50952	RPMI			Blood						MS14386		
102.100.100/50953	Escherichia coli	NCBITAXON	http://purl.obolibrary.org/obo/NCBITaxon_562	Whole Organism	NCIT	http://purl.obolibrary.org/obo/NCIT_C13413	Escherichia coli MS14386			experimental sample	CHMO	http://purl.obolibrary.org/obo/CHMO_0002746	Sample collection	102.100.100/50953	RPMI			Blood						MS14386		
102.100.100/50954	Escherichia coli	NCBITAXON	http://purl.obolibrary.org/obo/NCBITaxon_562	Whole Organism	NCIT	http://purl.obolibrary.org/obo/NCIT_C13413	Escherichia coli MS14386			experimental sample	CHMO	http://purl.obolibrary.org/obo/CHMO_0002746	Sample collection	102.100.100/50954	RPMI			Blood						MS14386		
102.100.100/50955	Escherichia coli	NCBITAXON	http://purl.obolibrary.org/obo/NCBITaxon_562	Whole Organism	NCIT	http://purl.obolibrary.org/obo/NCIT_C13413	Escherichia coli MS14386			experimental sample	CHMO	http://purl.obolibrary.org/obo/CHMO_0002746	Sample collection	102.100.100/50955	Pooled sera			Blood						MS14386		
102.100.100/50956	Escherichia coli	NCBITAXON	http://purl.obolibrary.org/obo/NCBITaxon_562	Whole Organism	NCIT	http://purl.obolibrary.org/obo/NCIT_C13413	Escherichia coli MS14386			experimental sample	CHMO	http://purl.obolibrary.org/obo/CHMO_0002746	Sample collection	102.100.100/50956	Pooled sera			Blood						MS14386		
