database_identifier	chemical_formula	smiles	inchi	metabolite_identification	mass_to_charge	fragmentation	modifications	charge	retention_time	taxid	species	database	database_version	reliability	uri	search_engine	search_engine_score	smallmolecule_abundance_sub	smallmolecule_abundance_stdev_sub	smallmolecule_abundance_std_error_sub	102.100.100/50913	102.100.100/50914	102.100.100/50915	102.100.100/50916	102.100.100/50917	102.100.100/50918	102.100.100/50919	102.100.100/50920	102.100.100/50921	102.100.100/50922	102.100.100/50923	102.100.100/50924	102.100.100/50925	102.100.100/50926	102.100.100/50927	102.100.100/50928	102.100.100/50929	102.100.100/50930	102.100.100/50931	102.100.100/50932	102.100.100/50933	102.100.100/50934	102.100.100/50935	102.100.100/50936	102.100.100/50937	102.100.100/50938	102.100.100/50939	102.100.100/50940	102.100.100/50941	102.100.100/50942	102.100.100/50943	102.100.100/50944	102.100.100/50945	102.100.100/50946	102.100.100/50947	102.100.100/50948	102.100.100/50949	102.100.100/50950	102.100.100/50951	102.100.100/50952	102.100.100/50953	102.100.100/50954	102.100.100/50955	102.100.100/50956	102.100.100/50957	102.100.100/50958	102.100.100/50959	102.100.100/50960	102.100.100/50961	102.100.100/50962	102.100.100/50963	102.100.100/50964	102.100.100/50965	102.100.100/50966	102.100.100/50967	102.100.100/50968	102.100.100/50969	102.100.100/50970	102.100.100/50971	102.100.100/50972	metabolite
CHEBI:16474	C21H30N7O17P3	NC(=O)C1=CN(C=CC1)[C@@H]1O[C@H](COP(O)(=O)OP(O)(=O)OC[C@H]2O[C@H]([C@H](OP(O)(O)=O)[C@@H]2O)n2cnc3c(N)ncnc23)[C@@H](O)[C@H]1O	InChI=1S/C21H30N7O17P3/c22-17-12-19(25-7-24-17)28(8-26-12)21-16(44-46(33,34)35)14(30)11(43-21)6-41-48(38,39)45-47(36,37)40-5-10-13(29)15(31)20(42-10)27-3-1-2-9(4-27)18(23)32/h1,3-4,7-8,10-11,13-16,20-21,29-31H,2,5-6H2,(H2,23,32)(H,36,37)(H,38,39)(H2,22,24,25)(H2,33,34,35)/t10-,11-,13-,14-,15-,16-,20-,21-/m1/s1	NADPH																	104069	147032	133387	90654	136136	102544	342730	209012	489708	138175	270182	235747	30243	67753	97937	51949	20833	71718	81824	66708	63794	125743	68266	220913	303967	216031	450036	363917	177993	220173	193618	516161	61534	92980	102270	172586	63396	32526	45243	108895	50747	116146	201454	50422	248947	229625	54173	233409	165666	148571	82731	62858	207472	48033	105780	162188	198471	66890	186105	110408	NADP
CHEBI:42504	C15H30O2	CCCCCCCCCCCCCCC(O)=O	InChI=1S/C15H30O2/c1-2-3-4-5-6-7-8-9-10-11-12-13-14-15(16)17/h2-14H2,1H3,(H,16,17)	Pentadecanoic acid																	87650	65014	49783	51997	48766	54711	55061	89572	41321	77908	40833	65102	57984	57763	40877	79576	40445	32773	130558	71542	90753	135907	58491	86586	28427	27835	42418	107346	24214	44421	35880	32795	45710	63900	66973	39292	58390	86335	66573	40681	69739	49056	54696	72598	93204	62268	57938	63043	85673	79590	44015	41792	36841	33620	90893	179743	35340	94434	98051	65276	Pentadecanoic acid
CHEBI:6650	C4H6O5	OC(CC(O)=O)C(O)=O	InChI=1S/C4H6O5/c5-2(4(8)9)1-3(6)7/h2,5H,1H2,(H,6,7)(H,8,9)	Malic acid																	18981471	13789585	6774028	18339395	22448347	14263421	6642264	13268863	6806584	3812963	2656413	15346006	22158043	18783623	6156836	23793698	22699931	3826904	8913257	5821207	5778444	10906417	7260296	4426632	11713718	6327643	15342525	16846327	4449296	5259774	9767160	7666552	3179595	896139	1360100	3488839	15790239	27504019	19548665	14773543	22981325	11703818	7037702	10174417	2371782	6823116	9331089	1567678	22002147	25254283	6752756	27037843	15248586	18143151	8106121	7876318	4387765	21729274	9380261	5681731	Malic acid
CHEBI:16995	C2H2O4	OC(=O)C(O)=O	InChI=1S/C2H2O4/c3-1(4)2(5)6/h(H,3,4)(H,5,6)	Oxalic acid																	62426	55990	45204	101197	102317	88553	105872	76269	65592	74659	72922	174365	112083	66300	67061	170714	114331	27523	85393	76357	44870	130887	74145	48263	56978	74981	96548	81937	97576	82310	258898	61920	57685	37898	76855	112238	130206	31605	93831	88185	272239	97088	70907	97856	58314	109304	105457	24964	153978	60460	91596	90977	68230	117103	95595	65482	74763	104477	65534	42389	Oxalic acid
CHEBI:15971	C6H9N3O2	N[C@@H](Cc1c[nH]cn1)C(O)=O	InChI=1S/C6H9N3O2/c7-5(6(10)11)1-4-2-8-3-9-4/h2-3,5H,1,7H2,(H,8,9)(H,10,11)/t5-/m0/s1	L-Histidine																	45630	62752	47762	93324	59198	55134	237709	270288	435924	206496	305613	357593	73204	31032	37022	67571	31117	58318	350706	394822	215374	168962	532905	136514	44172	60416	76531	111694	38906	56638	196675	202302	39538	39247	21425	43251	46377	137676	66559	49139	72809	105480	93772	201408	180938	156081	91419	31876	50776	57004	61132	131731	113251	120589	225265	242218	497090	272965	214246	274746	L-Histidine
CHEBI:30797	C4H6O5	O[C@@H](CC(O)=O)C(O)=O	InChI=1S/C4H6O5/c5-2(4(8)9)1-3(6)7/h2,5H,1H2,(H,6,7)(H,8,9)/t2-/m0/s1	L-Malic acid																	37786447	27040077	13370353	36430451	44702589	28132482	13313100	26298863	13389604	7513749	5205624	30363557	44117029	36862663	12057784	47255570	45278602	7542544	17543983	11376406	11764085	21699336	14454778	8863362	23260574	12512197	30675676	33598135	9042666	10427725	19350777	15562164	6265996	1786764	2756448	7168487	31360114	54738535	38561607	29317488	45717317	23244755	13948670	20072762	4835973	13538804	18759400	3316877	43638928	49866887	13182057	53783607	30006532	36140183	16009426	15553922	8854978	42936782	18740253	11485405	L-Malic acid
CHEBI:175195	C10H12N5O6P	P1(OC2C(O1)C(OC2N3C4=NC=NC(N)=C4N=C3)CO)(O)=O	InChI=1S/C10H12N5O6P/c11-8-5-9(13-2-12-8)15(3-14-5)10-7-6(4(1-16)19-10)20-22(17,18)21-7/h2-4,6-7,10,16H,1H2,(H,17,18)(H2,11,12,13)	Adenosine 2',3'-cyclic phosphate																	22424	14243	10257	16446	28979	30161	80760	22195	23329	46802	54209	47834	79648	22359	11741	8659	41191	75328	20099	111282	100136	149952	123210	30527	26114	1874	34618	55802	8854	66009	356284	444026	265968	297506	182699	671165	28762	140588	20676	32304	63460	35997	55278	48453	28248	28263	82339	34597	35061	32247	50450	1703	30649	5503	0	3333	12933	6074	22273	7136	Adenosine 2',3'-cyclic phosphate
CHEBI:17659	C9H14N2O12P2	O[C@@H]1[C@@H](COP(O)(=O)OP(O)(O)=O)O[C@H]([C@@H]1O)n1ccc(=O)[nH]c1=O	InChI=1S/C9H14N2O12P2/c12-5-1-2-11(9(15)10-5)8-7(14)6(13)4(22-8)3-21-25(19,20)23-24(16,17)18/h1-2,4,6-8,13-14H,3H2,(H,19,20)(H,10,12,15)(H2,16,17,18)/t4-,6-,7-,8-/m1/s1	Uridine 5'-diphosphate																	588208	482723	461037	655016	899565	657224	349893	540177	367524	673894	474098	643847	1526045	1088768	878127	2302626	2253532	1327291	668362	379319	172934	454438	417279	479185	1246218	762698	982157	1863707	443918	1454808	168705	117108	37179	102969	87047	144709	544360	1249949	751896	2173044	1199376	2543174	423291	591737	268642	1177246	671198	374655	1635621	1771001	804647	1984230	1855283	1539118	432957	684674	297637	882638	762288	396410	Uridine 5'-diphosphate
CHEBI:16070	C6H12O5	OC[C@H]1OC[C@H](O)[C@@H](O)[C@@H]1O	InChI=1S/C6H12O5/c7-1-4-6(10)5(9)3(8)2-11-4/h3-10H,1-2H2/t3-,4+,5+,6+/m0/s1	1,5-Anhydrosorbitol																	8268	10007	11586	6292	4713	8970	65109	15021	147319	103009	21211	9223	4706	9162	15757	10472	7973	15192	21658	152	2853	13205	8141	6532	6346	6479	12637	48266	6990	30466	9495	7913	2032	2069	6094	3741	14008	9951	25935	24426	13971	21725	70813	50977	28061	77980	36307	33686	8718	10410	8018	6874	8452	9088	37579	55046	13521	23744	53150	10348	1,5-Anhydrosorbitol
CHEBI:26374	C6H5N5O			Pterin																	37322	107712	179107	55465	47345	67791	122005	191621	206589	128571	264515	714154	61650	361592	575797	142606	102252	467661	55052	128036	196500	145696	122274	300268	78512	87294	284757	473277	197564	347276	84473	160266	162189	276272	423878	186821	118570	152575	157335	141803	46734	362422	123874	32836	341042	154234	45343	246517	257733	204022	361901	86147	704567	138830	162232	238165	128079	93134	281483	162688	Pterin
