database_identifier	chemical_formula	smiles	inchi	metabolite_identification	mass_to_charge	fragmentation	modifications	charge	retention_time	taxid	species	database	database_version	reliability	uri	search_engine	search_engine_score	smallmolecule_abundance_sub	smallmolecule_abundance_stdev_sub	smallmolecule_abundance_std_error_sub	102.100.100/50913	102.100.100/50914	102.100.100/50915	102.100.100/50916	102.100.100/50917	102.100.100/50918	102.100.100/50919	102.100.100/50920	102.100.100/50921	102.100.100/50922	102.100.100/50923	102.100.100/50924	102.100.100/50925	102.100.100/50926	102.100.100/50927	102.100.100/50928	102.100.100/50929	102.100.100/50930	102.100.100/50931	102.100.100/50932	102.100.100/50933	102.100.100/50934	102.100.100/50935	102.100.100/50936	102.100.100/50937	102.100.100/50938	102.100.100/50939	102.100.100/50940	102.100.100/50941	102.100.100/50942	102.100.100/50943	102.100.100/50944	102.100.100/50945	102.100.100/50946	102.100.100/50947	102.100.100/50948	102.100.100/50949	102.100.100/50950	102.100.100/50951	102.100.100/50952	102.100.100/50953	102.100.100/50954	102.100.100/50955	102.100.100/50956	102.100.100/50957	102.100.100/50958	102.100.100/50959	102.100.100/50960	102.100.100/50961	102.100.100/50962	102.100.100/50963	102.100.100/50964	102.100.100/50965	102.100.100/50966	102.100.100/50967	102.100.100/50968	102.100.100/50969	102.100.100/50970	102.100.100/50971	102.100.100/50972	metabolite
				ITSD																	2745247	2545926	2553626	2808912	2763606	2754561	2896273	2932503	2716075	2141703	2210679	2871417	2570206	2418870	2400415	2670094	2650377	2340046	2495339	2599458	2586615	2718772	2752621	2842148	2894944	3166498	2896977	1646808	2698644	2171962	2817687	2402487	2901767	2557883	3134969	2727756	2734538	2143278	2894447	1970748	2589364	2157542	2502349	2680881	2237344	2106736	2718878	2255987	3529621	2743705	3008037	2806300	3124302	2881434	2883055	3009149	2786958	2689030	2885290	2968915	13C2-Myristic acid
				ITSD																	306504	295155	341910	312202	330705	295662	302963	314558	327565	291944	315899	326414	268385	300178	331441	314715	305922	301900	333913	331553	366515	348544	353502	392395	366476	431204	362199	258004	442637	386302	449312	375920	499477	480013	565728	456423	308208	327544	333994	320589	301451	345886	416040	317341	391477	346335	338317	425291	388647	322171	345346	308404	333460	313441	348195	338589	327328	288931	331893	328752	13C5,15N1-Valine
				ITSD																	1009794	1011948	1019117	1067336	1024302	1141734	723606	887550	963362	927068	946492	881325	892727	986771	1077385	1063991	1055751	1032430	951642	935993	948742	950785	903915	1034405	1011897	1087069	1092144	921786	1565876	1099790	933146	1078202	1759460	1468507	1458910	1192852	1137591	1157211	1176026	1310706	1097100	1138904	1240626	983310	1183501	1241600	1052022	1338457	1270627	1164003	1226809	1080950	1185710	1201447	1035328	1203678	985803	1054861	1090477	1020193	13C6-Sorbitol
CHEBI:17750	C5H11NO2	C[N+](C)(C)CC([O-])=O	InChI=1S/C5H11NO2/c1-6(2,3)4-5(7)8/h4H2,1-3H3	Betaine																	6146991	9933194	7520880	8998353	9524068	8125107	9043758	11551704	6590076	11655086	7880145	9880556	1807557	2009133	3350665	3532875	1174880	3409158	9921824	3597688	3622197	7855484	3329889	6353584	5906838	4321124	5887961	9943483	2065578	5887219	2458630	3262951	1471944	1946668	1519977	1843918	4435307	1877391	5221328	6360329	2054214	6428044	9014166	7051198	4253728	9133664	5425749	4485838	3172940	3636894	3935023	4427758	4230203	3704967	10041340	9453892	5284482	9603514	8765830	6380636	Betaine
CHEBI:28842	C18H36O2	C(CCCCCCCCCC)CCCCCCC(=O)O	InChI=1S/C18H36O2/c1-2-3-4-5-6-7-8-9-10-11-12-13-14-15-16-17-18(19)20/h2-17H2,1H3,(H,19,20)	Stearic acid																	4260780	3504700	4822166	5891235	7931494	3847496	4616676	7876343	3192185	3700253	2340641	4608206	4043295	3560646	3569327	5476230	3394124	1808001	2699691	8234392	11440882	6808645	4820594	5119035	8263632	195510	8126823	2367362	7608020	2932927	8224899	13557724	14661488	6653558	4668732	8568360	5329840	3136413	6232738	4851201	2746673	3176780	4895073	8359862	5251666	3745854	4999830	3030449	6838166	6571142	6283011	7392326	4155121	5265879	4444856	5941447	12034680	7933463	2928928	7236022	Stearic acid
CHEBI:167592	C33H66NO8P	[C@](COC(=O)*)(OC(=O)*)([H])COP(OCC[NH3+])(=O)[O-]		PE(14:0/14:0)																	167486	67476	96300	158015	230090	199297	192149	132036	156660	39637	107491	149954	139560	48211	63701	198607	142191	74501	49247	63731	148790	127139	195753	135184	205183	157522	197120	100846	123101	92409	38995	58754	29389	21322	16719	35195	188924	91246	173773	121998	177726	129521	107674	138694	98032	80505	142411	107882	98973	121769	96042	187303	106619	171957	31033	45035	150469	153846	32180	118587	PE(14:0/14:0)
CHEBI:17713	C10H14N5O6P	Nc1ncnc2n(cnc12)[C@H]1C[C@H](O)[C@@H](COP(O)(O)=O)O1	InChI=1S/C10H14N5O6P/c11-9-8-10(13-3-12-9)15(4-14-8)7-1-5(16)6(21-7)2-20-22(17,18)19/h3-7,16H,1-2H2,(H2,11,12,13)(H2,17,18,19)/t5-,6+,7+/m0/s1	Deoxyadenosine monophosphate																	176967	194052	215803	183831	123503	151243	220447	175366	254308	287064	199103	194249	104789	119600	116376	121362	92707	73143	279221	160715	114995	230912	152237	129943	165556	87234	227102	356327	24828	158964	38533	104916	22589	19597	38429	16968	137426	247787	163602	185492	194264	123468	250467	275116	210784	222516	113336	129136	82724	114082	110680	114057	94078	111932	310341	272902	263434	238501	182126	231711	Deoxyadenosine monophosphate
CHEBI:43433	C6H13NO2	CC[C@@H](C)[C@H](N)C(O)=O	InChI=1S/C6H13NO2/c1-3-4(2)5(7)6(8)9/h4-5H,3,7H2,1-2H3,(H,8,9)/t4-,5+/m1/s1	L-Alloisoleucine																	10061216	10155477	10969025	20198421	23303019	14663357	9588647	13232107	5976521	17570406	7112106	9998802	6491771	3398840	5285285	11080782	5729725	7995504	15324763	4822877	4184361	6626287	4687907	8154745	13867635	3796477	10763018	33571138	2530784	14068615	912150	2964520	259436	540287	524489	800545	9661531	6191329	9728124	17969005	7587748	15021602	8940473	7987800	4360429	7514655	7317307	4598367	6633451	4219895	6539660	12669165	13181767	9358798	12734988	15179831	7323756	7418502	10290540	8471411	L-Alloisoleucine
CHEBI:16414	C5H11NO2	CC(C)[C@H](N)C(O)=O	InChI=1S/C5H11NO2/c1-3(2)4(6)5(7)8/h3-4H,6H2,1-2H3,(H,7,8)/t4-/m0/s1	L-Valine																	17792478	11653364	8783812	13821456	6610704	12614074	1955436	2355265	1819239	4602775	2411722	1954680	8349431	3499785	2562661	3656458	4000216	2929766	6684942	2715548	1796183	2829810	3521641	2562684	2952605	224887	1917577	3255166	509729	1847527	403811	1456242	213724	412952	658968	469822	5195854	6625439	3369517	4464797	6257827	3917595	2170329	3174518	1282240	1879641	2515097	1348266	2373610	1948720	2409704	3337286	2800598	2704260	4520181	5751458	2574546	3295273	5261876	2721680	L-Valine
CHEBI:17191	C6H13NO2	OC([C@H]([C@H](CC)C)N)=O	InChI=1S/C6H13NO2/c1-3-4(2)5(7)6(8)9/h4-5H,3,7H2,1-2H3,(H,8,9)/t4-,5-/m0/s1	L-Isoleucine																	4570166	4505284	4757806	8906266	10170256	6326879	4250135	5723429	2684385	7353110	3053953	4167836	2949841	1562389	2407353	5033814	2582200	3564039	6842839	2196040	1887989	2762526	2126366	3512570	6230393	1758546	4878181	14803023	1177858	6461948	418158	1370086	114869	236416	242702	383115	4497939	2759062	4447904	8074774	3412576	6608343	3794053	3444623	1979066	3067797	3243611	2027510	3043214	1905459	2921900	5754884	6000687	4290511	5321375	6318855	3308780	2931191	4397407	3720811	L-Isoleucine
CHEBI:72772	C6H13NO2	CC(C)C(N)CC(O)=O	InChI=1S/C6H13NO2/c1-4(2)5(7)3-6(8)9/h4-5H,3,7H2,1-2H3,(H,8,9)	Beta-Leucine																	4687760	4659945	5013313	9229018	10450185	6593123	4352345	5849948	2783487	7548794	3142596	4336774	2985065	1582226	2438573	5162414	2616095	3694836	6807915	2229255	1897139	2792240	2129546	3614247	6387348	1784390	4991229	14919571	1205632	6569955	424432	1380608	117758	242329	263058	380249	4567324	2773317	4599854	8321039	3451021	6844150	3910582	3543062	2050889	3112671	3333462	2070692	3063184	1985810	3035600	5861593	6100986	4403635	5509781	6515373	3380526	3055850	4482646	3829507	Beta-Leucine
CHEBI:16467	C6H14N4O2	N[C@@H](CCCNC(N)=N)C(O)=O	InChI=1S/C6H14N4O2/c7-4(5(11)12)2-1-3-10-6(8)9/h4H,1-3,7H2,(H,11,12)(H4,8,9,10)/t4-/m0/s1	L-Arginine																	7610	5136	9960	28282	225088	7705	11062	1848	66218	24675	59042	10411	48288	132516	139371	256455	194713	249041	33746	85994	84062	172734	63674	130592	92782	8939	125648	504544	61088	119071	59715	43284	51473	74667	57997	70649	241005	54524	259809	341101	111237	352073	59459	12477	119272	222249	32458	193836	341734	317998	285224	396313	430904	382949	442889	474855	296910	313520	237165	293915	L-Arginine
				No HMDB data																	138624	176629	85167	147900	276177	81154	32475	62633	85039	30043	93035	17510	217341	211939	39773	82739	390639	78982	63609	41527	1405	9816	57562	3274	187679	258855	55963	114992	131603	111700	7408	4728	0	0	12244	1143	186753	453957	186942	639807	648265	431450	17627	48977	18268	27794	63007	1276	362805	477848	322092	323311	972155	234073	31360	103941	25539	32256	38313	23621	Sucrose 6-Phosphate
CHEBI:17012	C11H19NO9	[H][C@]1(OC(O)(C[C@H](O)[C@H]1NC(C)=O)C(O)=O)[C@H](O)[C@H](O)CO	InChI=1S/C11H19NO9/c1-4(14)12-7-5(15)2-11(20,10(18)19)21-9(7)8(17)6(16)3-13/h5-9,13,15-17,20H,2-3H2,1H3,(H,12,14)(H,18,19)/t5-,6+,7+,8+,9+,11?/m0/s1	N-Acetylneuraminic acid																	11748	2668	8147	7813	10718	19053	267962	411262	22514	587318	82257	150419	22453	6998	10958	24581	26088	12408	3808612	481524	100789	596041	1101195	354526	42830	27452	34092	49124	11579	25909	125201	305099	17959	45138	66369	52726	32301	14850	21808	23872	39675	20866	588327	2066361	107726	591223	2258348	322336	6411	1049	3902	13717	1179	23720	65599	120626	15694	147122	104322	47395	N-Acetylneuraminic acid
CHEBI:16027	C10H14N5O7P	Nc1ncnc2n(cnc12)[C@@H]1O[C@H](COP(O)(O)=O)[C@@H](O)[C@H]1O	InChI=1S/C10H14N5O7P/c11-8-5-9(13-2-12-8)15(3-14-5)10-7(17)6(16)4(22-10)1-21-23(18,19)20/h2-4,6-7,10,16-17H,1H2,(H2,11,12,13)(H2,18,19,20)/t4-,6-,7-,10-/m1/s1	Adenosine monophosphate																	7909905	8492138	8162221	9835980	8218219	11150649	4767466	5589033	7705177	8450306	6763895	5936319	10942899	12782624	8539746	11672728	11260176	7354043	8305335	3466762	3574663	5804665	3811535	5350618	9905317	7825543	12420895	18484780	2891527	7943706	2952572	1076295	682959	1451977	1643953	1245383	10687430	23160709	9660292	10883398	10833082	15887355	10392446	5474143	6649031	9840385	4455171	6620389	12574591	15268091	9752481	12041189	8848008	12114757	9645488	11418128	8313904	8548464	8363851	6784320	Adenosine monophosphate
CHEBI:17895	C9H11NO3	N[C@@H](Cc1ccc(O)cc1)C(O)=O	InChI=1S/C9H11NO3/c10-8(9(12)13)5-6-1-3-7(11)4-2-6/h1-4,8,11H,5,10H2,(H,12,13)/t8-/m0/s1	L-Tyrosine																	1632053	1684017	2087487	2115127	2437613	2540591	3511038	3199121	3388397	4696430	3829547	3529386	796451	474649	888246	1042209	888478	1434903	3943894	2520895	1270223	2540189	2809297	2581361	2046298	801394	1762818	2479643	798282	2556352	747920	1385531	320118	550278	655688	449336	1591753	2357315	1794732	2000797	1648735	3312554	2826465	3120085	1746553	2588648	1949859	1511262	1903882	1938645	1937722	1973910	2122655	2802620	4395831	4836623	3209382	3593865	4238284	3188779	L-Tyrosine
CHEBI:30911	C6H14O6			Sorbitol																	72216	17491	86701	129037	2070	2832	363774	16689	45959	5834	12605	2853	68465	28395	19227	33855	40015	10782	109249	3904	8725	42372	2779	21631	3474	7031	5467	7081	14571	10425	137264	13105	71675	478452	1689	1886	35552	88137	34996	11724	21539	815888	44879	42	77825	734	28260	2439	100437	179191	27760	77021	128188	27575	197457	26628	8922	2784	15052	335	Sorbitol
CHEBI:4170	C6H13O9P	OC1O[C@H](COP(O)(O)=O)[C@@H](O)[C@H](O)[C@H]1O	InChI=1S/C6H13O9P/c7-3-2(1-14-16(11,12)13)15-6(10)5(9)4(3)8/h2-10H,1H2,(H2,11,12,13)/t2-,3-,4+,5-,6?/m1/s1	Glucose 6-phosphate																	2120327	777631	629084	1506942	1389534	836631	864655	456755	563658	204553	280686	341704	1822479	942027	513205	1159725	1726872	484180	319741	196975	76128	123145	247647	123656	869170	484420	299768	535616	129498	238174	40896	60344	8088	32227	52795	21806	1571714	1348788	1738774	748533	2017485	969412	184722	379654	198983	220212	327147	97744	1187030	1133775	555395	1973431	1029016	1823048	191963	234911	464921	286712	301923	325285	Glucose 6-phosphate
CHEBI:16643	C5H11NO2S	CSCC[C@H](N)C(O)=O	InChI=1S/C5H11NO2S/c1-9-3-2-4(6)5(7)8/h4H,2-3,6H2,1H3,(H,7,8)/t4-/m0/s1	L-Methionine																	454953	531898	165038	302641	29026	191963	1585854	1363033	195065	732198	77724	915248	1703443	899411	90009	84723	744632	103413	3017109	631486	80894	126436	1570648	131045	91654	120601	70123	46902	7856	38653	93199	414180	68831	83508	88041	116071	120312	1812672	84758	58844	685769	46613	134589	2124646	99211	74245	442587	60021	463330	308844	142085	259048	95779	122011	901650	1390551	569286	646843	433091	918539	L-Methionine
CHEBI:7916	C9H17NO5	CC(C)(CO)C(O)C(=O)NCCC(O)=O	InChI=1S/C9H17NO5/c1-9(2,5-11)7(14)8(15)10-4-3-6(12)13/h7,11,14H,3-5H2,1-2H3,(H,10,15)(H,12,13)	Pantothenic acid																	20576743	15164642	19075756	15263189	13018390	27700081	18854742	20459475	20078851	26338835	15185599	24834132	26513709	23827426	18064171	16457343	15667375	16494450	26949272	13984933	7976974	14639421	22078390	13676538	18193454	7496673	21591189	25010868	3662329	14772472	2132193	10732085	1318727	1755405	3696961	2157824	23751128	39623557	27615351	21875897	21699946	28275125	18700652	19641217	14653837	21071345	15924859	13084432	21912023	21850647	21267552	19166884	19297684	20228960	25680094	18527503	16811453	21956976	23502471	19137559	Pantothenic acid
CHEBI:28797	C4H9NO2	CC[C@@H](N)C(O)=O	InChI=1S/C4H9NO2/c1-2-3(5)4(6)7/h3H,2,5H2,1H3,(H,6,7)/t3-/m1/s1	D-Alpha-aminobutyric acid																	102148	101316	103745	91756	124998	120639	214886	378487	108621	540550	131784	203502	105330	87664	86827	67385	86294	82145	687187	142614	102736	247563	187790	159502	45501	38862	41235	48536	55214	43851	47245	55393	36760	46684	44334	40196	108290	144322	162378	116515	138444	186144	311322	603052	140898	372779	362806	186428	79516	66274	63925	55724	67284	66176	360252	608107	97704	351283	296639	109084	D-Alpha-aminobutyric acid
CHEBI:16742	C5H4N2O4	OC(=O)c1cc(=O)[nH]c(=O)[nH]1	InChI=1S/C5H4N2O4/c8-3-1-2(4(9)10)6-5(11)7-3/h1H,(H,9,10)(H2,6,7,8,11)	Orotic acid																	250074	89381	3733846	1523602	535325	643855	16272	25601	28931	100350	28197	22775	118845	65786	1341390	635448	85419	366704	34868	18944	38119	75738	18223	131812	102903	31518	289182	3585049	29613	253667	20498	19247	26766	26553	25774	17893	60251	148749	482770	1563573	576693	657986	28138	17138	38402	51014	38403	43743	738298	420960	5299073	4409340	3631391	1612373	1058652	40151	38231	168005	149812	70556	Orotic acid
CHEBI:16335	C10H13N5O4	Nc1ncnc2n(cnc12)[C@@H]1O[C@H](CO)[C@@H](O)[C@H]1O	InChI=1S/C10H13N5O4/c11-8-5-9(13-2-12-8)15(3-14-5)10-7(18)6(17)4(1-16)19-10/h2-4,6-7,10,16-18H,1H2,(H2,11,12,13)/t4-,6-,7-,10-/m1/s1	Adenosine																	1867843	2944245	2154651	2709396	2578391	3686599	1985363	1731147	1637686	796503	574337	1859966	2974551	1112946	779763	2592913	1879857	733771	997542	2011103	1461360	1532048	1951197	739081	2170173	1281753	4862832	2224864	481364	948934	1220501	7797166	351029	141479	232380	816560	8483895	4834200	10507197	1242752	4977742	2213491	1685030	3139933	1632011	1104183	1112152	756598	972425	1031089	646411	1833978	1010126	1375324	841670	1033005	1345584	1868238	843204	1396399	Adenosine
CHEBI:17295	C9H11NO2	N[C@@H](Cc1ccccc1)C(O)=O	InChI=1S/C9H11NO2/c10-8(9(11)12)6-7-4-2-1-3-5-7/h1-5,8H,6,10H2,(H,11,12)/t8-/m0/s1	L-Phenylalanine																	928038	921939	1259577	977065	724895	1317633	844357	637680	2016703	651112	1103907	546979	499671	376803	581555	505881	194126	577477	1522384	1416598	745933	489345	1286549	744684	652374	348742	682272	802270	221813	830712	388943	593302	230120	252580	316616	285751	1281721	1338145	1228102	1106932	492950	2016865	460076	852485	919147	410979	260419	338226	667161	670412	981059	741069	581334	794543	985477	1270980	1444048	379333	459818	747597	L-Phenylalanine
CHEBI:17489	C10H12N5O6P	Nc1ncnc2n(cnc12)[C@@H]1O[C@@H]2COP(O)(=O)O[C@H]2[C@H]1O	InChI=1S/C10H12N5O6P/c11-8-5-9(13-2-12-8)15(3-14-5)10-6(16)7-4(20-10)1-19-22(17,18)21-7/h2-4,6-7,10,16H,1H2,(H,17,18)(H2,11,12,13)/t4-,6-,7-,10-/m1/s1	Cyclic AMP																	265651	122944	408832	201872	436014	820858	230802	63550	210303	325293	367865	280900	442624	114893	503979	341116	738740	797996	206088	85614	83419	119835	126317	208739	296518	97367	364058	1289774	118775	1088053	25758	53498	11109	34348	23262	22979	172490	200850	226457	793252	388534	1038958	55779	51927	137899	159747	100835	127022	275740	201542	423374	306701	923985	553306	36454	105163	109816	104863	238389	72399	Cyclic AMP
CHEBI:17368	C5H4N4O	O=c1[nH]cnc2nc[nH]c12	InChI=1S/C5H4N4O/c10-5-3-4(7-1-6-3)8-2-9-5/h1-2H,(H2,6,7,8,9,10)	Hypoxanthine																	8120199	5984669	3331155	5190163	4679712	5008651	7457264	7594275	3064970	2324821	2209597	5303922	8239721	5322559	2236699	3707060	4032298	1339865	5303160	6714725	1567912	3908733	5243570	654576	2610206	1209277	1946413	1499708	658597	45434	5073697	2536863	2355115	2251794	1576180	3734520	3099729	4930329	2709094	1709842	2415433	1561631	2876315	2567316	687731	631530	736594	157522	3682975	1926087	2707325	2740880	1754424	3445285	816404	431981	1587037	509862	163417	1077296	Hypoxanthine
CHEBI:16813	C6H14O6	OC[C@H](O)[C@@H](O)[C@@H](O)[C@H](O)CO	InChI=1S/C6H14O6/c7-1-3(9)5(11)6(12)4(10)2-8/h3-12H,1-2H2/t3-,4+,5+,6-	Galactitol																	69662	7769	105346	134104	3062	4140	382018	22658	52925	29873	25398	7817	77491	46886	24230	19367	44670	16622	120003	16758	11112	60489	12979	58790	7529	5194	4339	16878	70220	20967	202560	33465	131596	638530	39570	38383	43787	93385	31211	12104	25333	879728	71431	6323	74345	14604	32326	19647	101968	198156	27816	83973	132143	29939	228459	55175	14681	12989	22270	7240	Galactitol
CHEBI:17821	C5H6N2O2	Cc1c[nH]c(=O)[nH]c1=O	InChI=1S/C5H6N2O2/c1-3-2-6-5(9)7-4(3)8/h2H,1H3,(H2,6,7,8,9)	Thymine																	641617	592474	555500	544943	264708	734188	459988	336149	249191	214011	103498	393160	688692	347718	450387	507511	304782	470820	473959	577551	256815	351878	352515	181269	675873	352120	797686	691435	82913	423348	330744	1278610	139912	58749	104009	157323	1394153	971656	1621245	377777	847397	700307	468590	654583	408829	336029	258189	316557	378285	177861	294358	287455	167335	384072	286533	196578	253342	297294	164355	303975	Thymine
CHEBI:16908	C21H29N7O14P2	NC(=O)C1=CN(C=CC1)[C@@H]1O[C@H](COP(O)(=O)OP(O)(=O)OC[C@H]2O[C@H]([C@H](O)[C@@H]2O)n2cnc3c(N)ncnc23)[C@@H](O)[C@H]1O	InChI=1S/C21H29N7O14P2/c22-17-12-19(25-7-24-17)28(8-26-12)21-16(32)14(30)11(41-21)6-39-44(36,37)42-43(34,35)38-5-10-13(29)15(31)20(40-10)27-3-1-2-9(4-27)18(23)33/h1,3-4,7-8,10-11,13-16,20-21,29-32H,2,5-6H2,(H2,23,33)(H,34,35)(H,36,37)(H2,22,24,25)/t10-,11-,13-,14-,15-,16-,20-,21-/m1/s1	NADH																	6368851	6730781	5456387	6793318	6577256	7221813	5955166	6302225	6445350	5553324	5605637	6498962	6897195	7215195	5808150	6687010	6504543	5002948	5454397	4578749	3523219	5846324	4974851	4990398	6236940	4122554	7881124	7987759	2231305	5491108	2097779	3910399	502331	1498330	1540668	1748879	5440517	6870437	6313730	6184219	7069591	5885931	4370671	4859043	3918937	5596899	4258938	3970509	5191856	5602444	3666234	5565098	5458471	4943507	3929873	4674478	4732498	5617843	3855134	4429373	NAD
CHEBI:17203	C5H9NO2	OC(=O)[C@@H]1CCCN1	InChI=1S/C5H9NO2/c7-5(8)4-2-1-3-6-4/h4,6H,1-3H2,(H,7,8)/t4-/m0/s1	L-Proline																	167155	189896	175372	266398	142976	155934	87076	76147	185037	284176	33003	93789	226942	195619	151964	162055	177987	166982	277883	72503	42019	113714	105451	80652	127043	56024	162149	627940	55112	165183	45162	76275	30380	54321	71003	48571	119658	387386	143612	224246	256428	164696	118810	91340	50727	148066	55925	63426	171530	213655	171587	203863	117189	192001	149830	87197	60718	127795	90277	73115	L-Proline
CHEBI:15603	C6H13NO2	CC(C)C[C@H](N)C(O)=O	InChI=1S/C6H13NO2/c1-4(2)3-5(7)6(8)9/h4-5H,3,7H2,1-2H3,(H,8,9)/t5-/m0/s1	L-Leucine																	642216	323546	395228	1020220	1335486	953786	758301	795158	817583	1587494	683638	772017	1073677	255769	698219	1668076	1757923	1527060	2911044	1430500	795784	1077775	1729299	1378380	1204199	30175	1130091	3699799	501304	1868157	216297	728702	118441	252025	349211	321554	772353	1250368	489458	1351891	1589234	1630397	845831	1697881	715613	1078497	1466401	881021	1112721	382380	892315	1564151	2268893	1625147	1752413	2715297	1007118	1249397	2226564	1259027	L-Leucine
CHEBI:15901	C4H6N2O2	O=C1CCNC(=O)N1	InChI=1S/C4H6N2O2/c7-3-1-2-5-4(8)6-3/h1-2H2,(H2,5,6,7,8)	Dihydrouracil																	24876	27052	92490	50975	45302	54386	21024	48628	20748	29489	14171	35452	49550	256590	186118	193896	47562	197636	119862	104846	68604	112965	55648	42173	166007	24785	196149	317491	6584	54323	22717	21374	12825	7606	8761	32656	172432	49610	124469	78659	13755	99620	37991	29919	11999	15998	10967	12249	213595	192763	100909	91292	75585	81443	100525	72705	84921	58740	32008	64211	Dihydrouracil
CHEBI:17345	C10H14N5O8P	Nc1nc2n(cnc2c(=O)[nH]1)[C@@H]1O[C@H](COP(O)(O)=O)[C@@H](O)[C@H]1O	InChI=1S/C10H14N5O8P/c11-10-13-7-4(8(18)14-10)12-2-15(7)9-6(17)5(16)3(23-9)1-22-24(19,20)21/h2-3,5-6,9,16-17H,1H2,(H2,19,20,21)(H3,11,13,14,18)/t3-,5-,6-,9-/m1/s1	Guanosine monophosphate																	260222	222878	202789	290474	297508	289942	236299	201131	252664	169866	214421	331408	237100	322759	105596	237740	434746	116521	237364	60910	43607	83039	84051	115693	300426	243678	307006	366441	78976	195670	48107	7087	27561	24327	31887	44586	157332	600246	148859	272130	439732	230122	309719	187761	178892	212693	269152	249397	604160	792889	350122	545524	378877	487046	553989	630913	303149	384406	387096	424765	Guanosine monophosphate
CHEBI:15318	C5H4N4O2			Xanthine																	23306107	26054263	23537348	28248189	33083015	28460385	8989746	18810126	9292248	20003387	10502943	13459253	16999927	21604030	17731346	20039176	23072316	21812852	14162836	10838605	8605399	11564029	10689125	11319458	17970967	16690195	11365726	29070620	14753723	18463941	14541463	11294033	11726422	12674816	15242650	16779057	15509098	15499864	16769278	28010945	20376085	28322148	15944084	10453485	8641118	13707516	9763057	11839089	14376440	10552021	14202718	20161052	22147468	19949533	5135731	6417162	4821998	3651759	4376212	4946694	Xanthine
CHEBI:18347	C6H13NO2	CCCC[C@H](N)C(O)=O	InChI=1S/C6H13NO2/c1-2-3-4-5(7)6(8)9/h5H,2-4,7H2,1H3,(H,8,9)/t5-/m0/s1	L-Norleucine																	605539	260930	358504	875932	1034313	1038496	690109	663297	812756	1379912	588925	726866	1033868	255263	687785	1598950	1959627	1503737	2740722	1384872	750409	979888	1713604	1335966	1299191	31053	1034827	3412328	500080	1781263	214342	707187	143663	277051	344695	332566	718535	1196723	507698	1238068	1509822	1593008	882413	1850282	708345	980542	1398363	861182	1215415	399652	958643	1697292	2222976	1524127	1768348	2527098	971098	1304572	2095339	1386695	L-Norleucine
CHEBI:16977	C3H7NO2	C[C@H](N)C(O)=O	InChI=1S/C3H7NO2/c1-2(4)3(5)6/h2H,4H2,1H3,(H,5,6)/t2-/m0/s1	L-Alanine																	1204399	1441006	821770	895777	365928	647027	182508	210208	207354	244009	45214	122617	1251394	995248	604652	664545	533278	386543	377354	120850	59837	138237	76331	93366	502352	103393	453584	694980	57137	318505	88319	86086	38889	32600	39823	54822	686798	1380474	616328	910147	553223	644617	193310	174504	65922	154762	68888	90984	682725	566288	493330	541466	382687	269909	239825	202954	128191	199661	169721	127698	L-Alanine
CHEBI:16704	C9H12N2O6	OC[C@H]1O[C@H]([C@H](O)[C@@H]1O)n1ccc(=O)[nH]c1=O	InChI=1S/C9H12N2O6/c12-3-4-6(14)7(15)8(17-4)11-2-1-5(13)10-9(11)16/h1-2,4,6-8,12,14-15H,3H2,(H,10,13,16)/t4-,6-,7-,8-/m1/s1	Uridine																	504721	967829	719597	737655	949472	1372250	859357	605006	865607	501971	381813	812950	906685	494436	279089	801717	609414	272168	473810	1153447	703881	751874	831013	532094	1180239	487633	1766582	888920	231311	486278	806371	3375631	182962	75612	86780	550011	2472220	996979	3538408	654262	2058392	655561	1195416	1874108	915112	778305	856414	646400	376575	346436	185089	343975	360364	320408	444542	438726	468080	527715	539387	732093	Uridine
CHEBI:15351	C23H38N7O17P3S	CC(=O)SCCNC(=O)CCNC(=O)[C@H](O)C(C)(C)COP(O)(=O)OP(O)(=O)OC[C@H]1O[C@H]([C@H](O)[C@@H]1OP(O)(O)=O)n1cnc2c(N)ncnc12	InChI=1S/C23H38N7O17P3S/c1-12(31)51-7-6-25-14(32)4-5-26-21(35)18(34)23(2,3)9-44-50(41,42)47-49(39,40)43-8-13-17(46-48(36,37)38)16(33)22(45-13)30-11-29-15-19(24)27-10-28-20(15)30/h10-11,13,16-18,22,33-34H,4-9H2,1-3H3,(H,25,32)(H,26,35)(H,39,40)(H,41,42)(H2,24,27,28)(H2,36,37,38)/t13-,16-,17-,18+,22-/m1/s1	Acetyl-CoA																	469079	131959	222366	329071	482202	426312	958021	409874	326704	72930	56883	622283	703905	279528	382148	1020916	1515348	267432	262337	1251921	416093	834054	1581097	131226	1595548	1455733	1395334	489883	827120	334591	550153	1634983	151768	209568	93958	428340	1488404	346846	2328467	1056163	2401980	986311	319588	1166231	110971	129028	1055904	77576	206366	347293	266656	479508	434348	584466	29127	80276	510566	164602	60684	374869	Acetyl-CoA
CHEBI:15824	C6H12O6			D-Fructose																	281583	325494	233784	263045	216238	407623	552158	533267	396385	1294410	833872	703369	290099	133570	74298	160863	192858	159899	943798	202219	125822	762858	375384	343007	294567	72827	234134	429018	108918	280644	213842	258156	173638	70947	114974	76444	426500	567663	461503	459573	554167	624445	1414564	1317705	394316	1622754	1252784	957512	327743	424670	184075	339151	275029	316735	1062795	1346703	499569	1290728	892622	540478	D-Fructose
