database_identifier	chemical_formula	smiles	inchi	metabolite_identification	mass_to_charge	fragmentation	modifications	charge	retention_time	taxid	species	database	database_version	reliability	uri	search_engine	search_engine_score	smallmolecule_abundance_sub	smallmolecule_abundance_stdev_sub	smallmolecule_abundance_std_error_sub	102.100.100/50913	102.100.100/50914	102.100.100/50915	102.100.100/50916	102.100.100/50917	102.100.100/50918	102.100.100/50919	102.100.100/50920	102.100.100/50921	102.100.100/50922	102.100.100/50923	102.100.100/50924	102.100.100/50925	102.100.100/50926	102.100.100/50927	102.100.100/50928	102.100.100/50929	102.100.100/50930	102.100.100/50931	102.100.100/50932	102.100.100/50933	102.100.100/50934	102.100.100/50935	102.100.100/50936	102.100.100/50937	102.100.100/50938	102.100.100/50939	102.100.100/50940	102.100.100/50941	102.100.100/50942	102.100.100/50943	102.100.100/50944	102.100.100/50945	102.100.100/50946	102.100.100/50947	102.100.100/50948	102.100.100/50949	102.100.100/50950	102.100.100/50951	102.100.100/50952	102.100.100/50953	102.100.100/50954	102.100.100/50955	102.100.100/50956	102.100.100/50957	102.100.100/50958	102.100.100/50959	102.100.100/50960	102.100.100/50961	102.100.100/50962	102.100.100/50963	102.100.100/50964	102.100.100/50965	102.100.100/50966	102.100.100/50967	102.100.100/50969	102.100.100/50970	102.100.100/50971	102.100.100/50972	metabolite
				ISTD																	7797167	7274034	6409192	7553185	7754511	7921701	8184759	8173047	7152050	6162216	6076697	7853837	6890160	6291045	5978136	7535209	7325468	6214541	5929930	8630572	7375433	8072845	7748520	7540216	7956758	8270192	7809944	4675111	8407262	5719887	7873246	7389564	8133494	6950620	6739755	8049172	7663240	4786229	7507902	4997526	8062761	4921736	5719084	8094875	5404363	4893803	8205493	5397698	7414967	7201864	6631033	7698453	7372193	7614939	6688031	8163870	7437428	6569799	9405026	1,2-13C2-Myristic acid
				ISTD																	22019755	18659724	17996182	14166995	19700905	15119154	17602692	19260927	17154090	17488237	17425104	18580614	19995422	18482680	18632770	20035810	20557088	17833578	18714114	21704737	19842497	20812359	19889828	19139635	18667070	19366368	18929267	11088915	21002576	18102660	19783401	17306001	18818009	18923716	17973476	17929952	19995350	11237925	18560432	14683400	21052757	16423015	17714127	13775587	16897388	18190864	20648284	19393374	15969051	8051678	18525191	19710873	19294138	18874315	17975883	19272232	18891115	18181594	19328399	13C5,15N1-Valine
CHEBI:16125	C16H34O	C(CCCCCCCCCCCCCCC)O	InChI=1S/C16H34O/c1-2-3-4-5-6-7-8-9-10-11-12-13-14-15-16-17/h17H,2-16H2,1H3	1-Hexadecanol																	37020	34037	22959	36362	43150	44149	42860	39374	12305	15610	15760	35846	36511	24122	17200	31025	30539	17899	26062	72282	36814	33589	35615	28463	20083	19248	16889	14983	8855	10802	38793	54979	31143	39076	31341	63107	20855	20746	22620	18031	42862	12671	31251	45712	41067	23393	85727	40938	29354	39283	28277	57409	46200	45513	60747	130354	95419	43741	108607	1-Hexadecanol
CHEBI:37024	C6H11NO4	NC(CCCC(O)=O)C(O)=O	InChI=1S/C6H11NO4/c7-4(6(10)11)2-1-3-5(8)9/h4H,1-3,7H2,(H,8,9)(H,10,11)	Aminoadipic acid																	22394825	16487333	4868182	7269803	1505594	10175080	29373902	26094510	21212307	22966445	7170001	21150478	16501946	2649826	986973	1652631	5667087	1021474	22658233	5664796	2000272	3302106	3687987	1212083	1258351	1682213	511889	190891	118581	357351	341117	876922	39851	59170	68428	49449	4034461	11130825	2256832	1855480	19075987	888388	3069230	18048080	532183	1524417	18665266	220021	801291	471265	1109088	1992977	940555	2143309	3221254	5095587	2431179	1857512	1257026	Aminoadipic acid
CHEBI:28797	C4H9NO2	CC[C@@H](N)C(O)=O	InChI=1S/C4H9NO2/c1-2-3(5)4(6)7/h3H,2,5H2,1H3,(H,6,7)/t3-/m1/s1	D-Alpha-aminobutyric acid																	143125	122737	109454	71929	178097	126515	570409	1121978	143977	1470285	258498	529058	240517	105146	108517	74719	132304	94580	1735658	196725	140252	582852	396022	229980	13989	5636	16972	31466	3658	11712	7950	29523	3156	7440	4699	3880	153920	115222	309167	86444	278783	206707	608410	1063735	136596	831374	1028018	231336	44879	9346	52308	63830	56727	72401	902440	167213	1036155	628243	222749	D-Alpha-aminobutyric acid
CHEBI:16000	C2H7NO	NCCO	InChI=1S/C2H7NO/c3-1-2-4/h4H,1-3H2	Ethanolamine																	1035383	89249	61623	49274	186847	102267	1799277	286917	135747	816911	59902	893336	451363	99981	72208	765786	460544	74876	1688263	2686625	3628279	4773766	384769	532729	131673	489018	219812	123667	495671	103978	1275001	77017	752208	119569	101234	873747	1140624	55922	79280	57729	977383	70528	90903	85741	232711	94121	282254	172386	55465	37468	74436	354529	121650	789701	160413	917320	153257	437946	127019	Ethanolamine
CHEBI:64305	C7H13NO4	NC(CCCCC(O)=O)C(O)=O	InChI=1S/C7H13NO4/c8-5(7(11)12)3-1-2-4-6(9)10/h5H,1-4,8H2,(H,9,10)(H,11,12)	2-Aminoheptanedioic acid																	499174	486137	322227	377740	704473	407453	257250	348547	252359	176005	209171	201853	842115	593990	248203	466650	706998	272919	397010	580465	194648	310542	463795	136231	565227	335114	485996	469868	441654	238203	40202	113034	24750	31016	40112	32429	679844	905353	586687	405985	865924	337393	204080	408616	110354	193422	355247	57901	743469	704941	285992	737853	543877	674030	197153	416107	243724	276123	300173	2-Aminoheptanedioic acid
CHEBI:32797	C5H8O5	O[C@@H](CCC(O)=O)C(O)=O	InChI=1S/C5H8O5/c6-3(5(9)10)1-2-4(7)8/h3,6H,1-2H2,(H,7,8)(H,9,10)/t3-/m0/s1	L-2-Hydroxyglutaric acid																	30202189	30319286	29413590	31609088	28750643	30685474	28683343	28101905	24108941	29480597	21105809	26140360	603962	615511	306123	544284	170292	188402	427107	142073	54861	101084	80313	52529	124635	46214	164549	769223	25581	80974	19407	27545	10869	16543	14102	14036	468216	1163337	505376	754628	804363	291797	48906	306134	44235	69014	79531	28724	475924	944013	520329	1030705	606796	226594	102484	109405	187234	139715	95219	L-2-Hydroxyglutaric acid
CHEBI:60645	C5H10O3	CC(C)C(O)C(O)=O	InChI=1S/C5H10O3/c1-3(2)4(6)5(7)8/h3-4,6H,1-2H3,(H,7,8)	2-Hydroxy-3-methylbutyric acid																	128874	109778	44816	92184	44208	77980	4165	9633	2336	6994	23074	11783	39395	16310	7211	13058	23292	11522	13059	18895	19567	12496	12169	17547	8827	2787	4985	11414	6955	8637	7235	7556	2688	6234	3758	4858	58031	50061	20281	30815	53041	26646	7454	13960	10514	4359	13347	9589	12222	9268	11305	17006	17378	15791	12540	25554	4878	15285	24524	2-Hydroxy-3-methylbutyric acid
CHEBI:30915	C5H6O5	OC(=O)CCC(=O)C(O)=O	InChI=1S/C5H6O5/c6-3(5(9)10)1-2-4(7)8/h1-2H2,(H,7,8)(H,9,10)	Oxoglutaric acid																	331864	122378	100091	109333	70831	175088	327625	77300	60074	135397	21602	52206	1778383	253810	176643	282192	120076	214733	246719	142737	46652	135371	164180	35198	185007	97342	245069	145120	41348	97175	21302	55366	10246	13938	7345	15400	277103	442840	138529	130306	669493	78291	61594	146817	26106	93167	92349	18993	114639	382062	291047	355206	323526	364484	115069	72109	108333	137772	69395	Oxoglutaric acid
CHEBI:24344	C3H7O7P	C(C(CO)OP(=O)(O)O)(O)=O	InChI=1S/C3H7O7P/c4-1-2(3(5)6)10-11(7,8)9/h2,4H,1H2,(H,5,6)(H2,7,8,9)	2-Phosphoglyceric acid																	1049731	1649162	1031812	1487463	1064713	562002	517614	987068	565818	513830	544370	388252	1826601	2472397	932205	1861123	1490246	447658	658909	1281282	356659	692483	925447	168389	1761381	927736	1113798	1184474	367507	302031	184856	441262	77706	62844	61309	119654	1687799	2859280	1215330	2108555	2330071	997219	366220	799833	293717	389372	566406	137873	1514369	2002635	1308835	2131464	2337884	1481979	425554	515533	565305	341563	280715	2-Phosphoglyceric acid
				unknown																	13572029	9569030	21313103	8124414	16945286	18306077	10982221	16598341	21980774	27993970	28794097	17530374	20527508	21611427	25926501	23043637	24726568	25799488	21169338	6225272	5225091	10443329	7541784	17864771	12550677	7336205	12367775	21267656	4408246	24517141	1010639	3602743	789824	3006019	2284325	936231	14747875	19184532	18073995	22993636	23769428	24012832	10268692	8541646	17591556	24995994	20275219	18244275	17867587	12574678	24998519	23171960	27025435	25627846	20821807	26925048	23565317	27830723	15817597	3-Aminoglutaric acid
CHEBI:16958	C3H7NO2	NCCC(O)=O	InChI=1S/C3H7NO2/c4-2-1-3(5)6/h1-2,4H2,(H,5,6)	beta-Alanine																	173018	204634	351477	65324	119563	224382	78415	60453	284569	858338	303918	98049	3428585	3166226	1307489	1645027	2844800	1670986	686003	83384	46896	135984	60403	299671	1838117	2653201	2360166	560898	608333	2167714	13008	43076	14019	39926	93003	15175	2142990	1751472	1021748	633519	2563416	1706365	287719	52482	292174	442023	114741	353272	1152578	26509	764325	929089	753920	4134789	365951	75136	142940	399149	60255	Beta-Alanine
CHEBI:20067	C4H8O3	CC(O)CC(O)=O	InChI=1S/C4H8O3/c1-3(5)2-4(6)7/h3,5H,2H2,1H3,(H,6,7)	D(-)-beta-hydroxy butyric acid																	73160	86558	62672	115378	255004	138699	88922	199336	51038	164483	223861	197560	136734	91962	97718	119949	364409	196821	147601	311616	312145	199540	244761	368800	86948	79371	92044	115010	77174	183533	588779	930932	316334	685696	240536	284830	38232	57950	39283	46209	89964	52370	141748	115613	298848	71132	104233	108332	70441	77219	67558	75166	125912	106742	128350	103007	132189	243193	215284	3-Hydroxybutyric acid
CHEBI:50392	C9H10O3	CC(O)(C(O)=O)c1ccccc1	InChI=1S/C9H10O3/c1-9(12,8(10)11)7-5-3-2-4-6-7/h2-6,12H,1H3,(H,10,11)	Phenyllactic acid																	287216	196610	177361	287260	297108	451514	168508	197667	105215	163177	192926	211610	152030	75814	71378	146487	104494	108179	150618	137758	138001	149683	122294	131721	259141	94802	208048	280591	46674	113764	34996	71724	29898	27369	43966	46175	376238	173675	329337	156895	249491	225040	66050	163163	70979	75049	95507	42040	122863	179562	144956	285704	123483	417320	192211	286126	330801	168985	388797	Phenyllactic acid
CHEBI:30753	C7H7NO2	C1(C(O)=O)=CC=C(N)C=C1	InChI=1S/C7H7NO2/c8-6-3-1-5(2-4-6)7(9)10/h1-4H,8H2,(H,9,10)	p-Aminobenzoic acid																	28680	23385	38722	19890	48204	70626	0	0	0	9014	4410	4693	19859	12919	13358	15180	19202	28736	0	0	0	0	0	0	8401	3198	7176	19396	3204	24468	0	0	0	0	0	0	27682	15843	34256	30990	25375	58643	0	6460	0	4641	8104	3511	14546	9770	18063	14794	17781	23585	0	0	7407	4241	0	p-Aminobenzoic acid
CHEBI:30763	C7H6O3	OC(=O)c1ccc(O)cc1	InChI=1S/C7H6O3/c8-6-3-1-5(2-4-6)7(9)10/h1-4,8H,(H,9,10)	4-Hydroxybenzoic acid																	267333	326309	383193	289844	280596	456725	55931	54018	115917	100141	76245	76727	224657	181121	167211	181010	217254	280366	74471	32560	22335	35052	32099	47155	116007	52148	109741	277218	37392	160710	16240	25821	9327	15854	19042	20827	300470	333930	315936	402666	265551	558971	54873	88317	46451	67213	108989	44784	298541	276121	282485	247807	277880	293122	46813	47524	53049	101149	56499	4-Hydroxybenzoic acid
CHEBI:40410	C4H7NO3	CC(=O)NCC(O)=O	InChI=1S/C4H7NO3/c1-3(6)5-2-4(7)8/h2H2,1H3,(H,5,6)(H,7,8)	Acetylglycine																	51858	118542	70479	70118	58092	55090	63764	59422	41558	79929	50467	55094	36733	54717	23615	22216	32849	39617	82883	35160	15965	43525	31015	27016	40567	26457	38571	65170	16649	39449	16251	23398	10022	16691	13572	9424	36244	84066	38333	64559	36619	43662	71805	62460	23689	48312	28212	26923	56539	61261	32983	37397	33035	30200	69313	37319	54585	39635	40628	Acetylglycine
CHEBI:32805	C6H6O6	OC(=O)C\C(=C\C(O)=O)C(O)=O	InChI=1S/C6H6O6/c7-4(8)1-3(6(11)12)2-5(9)10/h1H,2H2,(H,7,8)(H,9,10)(H,11,12)/b3-1-	cis-Aconitic acid																	3149	4753	2347	3350	6189	4052	2034	3450	3669	1930	2127	2518	4314	5686	1643	3415	5319	2144	3930	6154	2746	3916	3737	1447	3322	2500	3653	4250	3270	921	1437	2237	0	0	0	0	4199	7447	0	0	4744	1958	1724	1956	1363	2632	0	0	5261	2363	2088	3920	4253	4048	1330	2910	2828	1519	1065	cis-Aconitic acid
CHEBI:16708	C5H5N5	Nc1ncnc2[nH]cnc12	InChI=1S/C5H5N5/c6-4-3-5(9-1-7-3)10-2-8-4/h1-2H,(H3,6,7,8,9,10)	Adenine																	5315269	3133345	2611736	5307786	6581541	8269210	5365119	4988659	2996159	2136908	1278471	5282302	6674667	1907906	1334607	5556183	4278888	1578913	1754527	2985941	2579079	3382826	3831085	1140671	4090910	3380592	9301795	3089511	1487562	1729248	3333728	7884829	1632211	436917	417247	2640996	11611267	4009673	10417123	2198285	10064271	2867557	1055888	4454431	967431	1223466	3596432	675055	1192403	643874	1275850	2866200	1780857	3902230	1534818	3553506	5583031	1330502	3622322	Adenine
CHEBI:16335	C10H13N5O4	Nc1ncnc2n(cnc12)[C@@H]1O[C@H](CO)[C@@H](O)[C@H]1O	InChI=1S/C10H13N5O4/c11-8-5-9(13-2-12-8)15(3-14-5)10-7(18)6(17)4(1-16)19-10/h2-4,6-7,10,16-18H,1H2,(H2,11,12,13)/t4-,6-,7-,10-/m1/s1	Adenosine																	95844	99910	27136	47928	27909	65792	50319	32942	70978	55002	20783	35649	65580	68127	31376	86736	29177	36538	26390	1408106	1718288	339561	51890	131457	22397	1088085	91971	33019	719600	33079	1971913	1002635	1498729	316552	358051	2414551	1038230	75486	74216	24238	232017	46459	19719	21936	793768	20770	20374	296211	26008	28160	36768	53534	25932	53255	20175	637028	24242	26663	40187	Adenosine
CHEBI:16977	C3H7NO2	C[C@H](N)C(O)=O	InChI=1S/C3H7NO2/c1-2(4)3(5)6/h2H,4H2,1H3,(H,5,6)/t2-/m0/s1	L-Alanine																	53641876	52341236	44884596	47322440	39030210	43479864	35086325	33831084	23678673	32653190	13606196	29835036	55422858	48284424	40486900	47129944	42933161	35371295	37525336	29337563	19942400	31347898	26675977	21013663	43976778	27053583	40332438	28996267	18742754	34032337	21180473	25455677	6690599	5945139	4771486	9498244	47053922	50054443	45622814	46897877	46442474	41377660	29783404	32855153	13508776	29434467	25767262	19371545	41257398	3777563	38592488	46196292	36647465	37706701	32946623	29969139	36681564	28738525	29323033	L-Alanine
CHEBI:37690	C6H12O6			Allose																	12038871	12417239	7944753	4983089	3278615	6231595	16726772	2707606	13796865	2444696	1407399	2946408	29232875	8037366	3655924	3577511	9478112	4171681	7954591	2693327	254792	352350	2029999	745735	2107631	1003173	1043284	1355439	281664	1295683	107551	333905	42677	36396	33610	55707	25567976	24130187	25999887	10398524	25373657	6516866	1643406	1408429	3150999	1678767	785799	769708	18738064	20328219	10987896	28081911	11287751	28092078	2467491	19483871	1535918	1671011	5992559	Allose
CHEBI:17108	C5H10O5			D-Arabinose																	45692	130857	87971	37244	30795	42025	166165	105801	89489	146387	51962	95368	165400	163544	203009	33183	85027	258183	189250	57848	17655	41682	49340	38084	28749	20175	27076	64348	9589	90210	13406	23211	8015	0	0	9927	84666	253520	126540	65972	126060	43920	69556	48158	37197	67140	42522	31091	61730	197722	117051	109137	56969	125436	73027	98873	61307	60972	49411	D-Arabinose
CHEBI:18333	C5H12O5	OC[C@@H](O)C(O)[C@H](O)CO	InChI=1S/C5H12O5/c6-1-3(8)5(10)4(9)2-7/h3-10H,1-2H2/t3-,4-/m1/s1	D-Arabitol																	90106	87005	130726	142973	117916	107531	44864	53545	43561	49507	33199	38238	42211	23640	16146	19880	29367	24533	31189	11525	4816	14760	11043	11461	16659	7889	13697	41701	3665	16374	2433	2956	0	0	0	0	26285	26713	17110	23870	22273	17533	10631	17494	6662	11606	8135	4145	25454	24706	19978	25113	22368	26761	20234	15780	31653	21635	12154	D-Arabitol
CHEBI:16467	C6H14N4O2	N[C@@H](CCCNC(N)=N)C(O)=O	InChI=1S/C6H14N4O2/c7-4(5(11)12)2-1-3-10-6(8)9/h4H,1-3,7H2,(H,11,12)(H4,8,9,10)/t4-/m0/s1	L-Arginine																	74198	140272	92479	65724	214124	52427	59131	54204	117871	102017	75301	33776	90733	226837	170885	499911	356543	184365	123772	263591	229635	456241	95261	158377	127722	82493	143649	99828	194501	147828	143137	59016	81443	75127	81151	113186	437092	214563	243525	187860	323979	205650	108982	56261	145021	215089	105114	219789	296893	175380	274487	556325	402610	710459	334235	542303	213840	293490	235064	L-Arginine
CHEBI:17053	C4H7NO4	N[C@@H](CC(O)=O)C(O)=O	InChI=1S/C4H7NO4/c5-2(4(8)9)1-3(6)7/h2H,1,5H2,(H,6,7)(H,8,9)/t2-/m0/s1	L-Aspartic acid																	11658548	8229317	20096715	6992709	15156028	16681165	9419846	14656677	20898346	27271493	27983246	15843410	19201631	20507781	24936982	21951054	23716456	24715425	20081982	5310953	4496103	8883338	6476805	16321730	10720059	6251970	10629080	19962317	3788848	23552863	876764	3107191	681778	2554821	1960658	788368	12717384	17826532	16398800	21846899	22756514	23010071	8879207	7320735	16088209	24069589	18988917	16737767	16411158	10723451	23917738	22005552	26296192	24763348	19618452	26180773	22585136	27080217	13811658	L-Aspartic acid
CHEBI:30746	C7H6O2	OC(=O)c1ccccc1	InChI=1S/C7H6O2/c8-7(9)6-4-2-1-3-5-6/h1-5H,(H,8,9)	Benzoic acid																	615071	699719	710018	594678	721467	714554	646266	615897	645666	690634	778592	688242	551901	625284	642404	647984	596576	965595	676733	734852	552703	524660	565069	863550	828443	634270	561859	1111077	577245	779128	615268	563661	616082	695681	639176	687202	592856	773523	1090530	686354	889843	886103	673482	1070014	619983	719567	613211	854819	648570	1007607	697749	636779	691767	710813	825094	569711	656545	681736	599148	Benzoic acid
CHEBI:18127	C5H14N2	NCCCCCN	InChI=1S/C5H14N2/c6-4-2-1-3-5-7/h1-7H2	Cadaverine																	472664	61284	32062	23854	124160	81875	1768421	183436	621668	7494700	343672	1440366	168982	95273	80063	1798640	1295104	14920	2674068	393149	136404	173229	469452	618716	61133	124332	117419	0	0	148361	24534	72889	0	58550	79893	0	1138336	28640	121251	18750	1077698	66464	117368	44313	436520	341879	501134	1114618	27203	10623	109890	888552	31471	2340666	237501	1014161	203460	2943127	189102	Cadaverine
CHEBI:30776	C6H12O2	CCCCCC(O)=O	InChI=1S/C6H12O2/c1-2-3-4-5-6(7)8/h2-5H2,1H3,(H,7,8)	Caproic acid																	241659	724337	694314	261432	376568	436042	520797	253446	737375	754809	921760	215013	232817	569972	698493	241122	384988	1080235	818378	232360	240381	230442	222189	1128076	548376	208222	262608	1126306	197701	1139035	308476	211661	201852	859646	764904	439457	266437	888237	742670	658804	753157	1156859	910600	965741	700043	850246	297811	973975	561689	1120506	680537	223727	747767	355029	1140204	266993	196173	698080	308648	Caproic acid
CHEBI:18135	C6H6O2	Oc1ccccc1O	InChI=1S/C6H6O2/c7-5-3-1-2-4-6(5)8/h1-4,7-8H	Pyrocatechol																	4153	6870	3941	5657	6454	8278	4815	9346	5220	7295	5240	6274	3653	2903	1935	2449	2955	4028	5621	3853	2482	5110	4306	3885	3882	2831	4565	9654	1803	3610	2807	7449	1674	1758	1678	1624	3953	4428	4946	4570	3151	3948	4045	6381	1865	5807	3412	2750	3948	5162	2563	2523	4030	2517	4975	5089	7904	5866	5284	Pyrocatechol
CHEBI:15584	C5H8O5	CC(O)(CC(O)=O)C(O)=O	InChI=1S/C5H8O5/c1-5(10,4(8)9)2-3(6)7/h10H,2H2,1H3,(H,6,7)(H,8,9)	Citramalic acid																	725046	85903	32011	367868	37833	366016	829204	167017	16197	16582	6799	101252	706687	97125	19400	376612	177727	28481	19334	281235	15892	20994	143494	6325	110340	125617	48883	40973	79255	14951	13120	52460	6455	3402	3272	6629	973995	150998	551331	35241	452561	27200	8938	288867	10540	9377	30769	4808	69358	79870	22158	236751	49696	85365	9210	291164	22164	10745	233659	Citramalic acid
CHEBI:30769	C6H8O7	OC(=O)CC(O)(CC(O)=O)C(O)=O	InChI=1S/C6H8O7/c7-3(8)1-6(13,5(11)12)2-4(9)10/h13H,1-2H2,(H,7,8)(H,9,10)(H,11,12)	Citric acid																	582733	529099	344789	428541	809219	437496	273580	382908	266271	211610	231208	228292	682063	622093	258449	543025	769437	283548	463252	679700	233225	358035	506811	156486	657970	390831	539329	510705	535063	280125	50402	128760	32396	35700	43518	37320	698550	822509	486902	456963	842798	341362	212244	468390	123879	207653	409218	68174	833170	667775	270291	733718	543330	624460	180290	423964	275142	308419	263144	Citric acid
				Labelled compound																	9385	9960	6110	7367	14828	9544	5268	7121	5375	7808	3920	3576	12753	10662	5338	10726	15774	5766	8266	13486	3408	7431	8367	2610	11797	7027	8175	10324	9646	5551	448	1787	0	0	0	0	13925	13829	8727	8126	15916	6833	2872	9086	2896	5200	7102	1411	16794	11605	8140	13318	9968	11850	3446	8986	5863	7870	3641	Citric acid-d4
CHEBI:17561	C3H7NO2S	N[C@@H](CS)C(O)=O	InChI=1S/C3H7NO2S/c4-2(1-7)3(5)6/h2,7H,1,4H2,(H,5,6)/t2-/m0/s1	L-Cysteine																	3698328	2863188	2184313	1284612	3076509	2217419	4762015	4370038	3240948	6306723	1874551	3769283	2717794	2909576	3407930	5082719	2517186	2321470	8875306	2129918	1720761	5646100	2079798	3196748	5045960	1171712	5678704	4758841	152942	3828527	181830	1601443	40428	157474	86013	116167	3468077	2587845	5763535	3145154	5488795	3397943	3759246	1534488	1555690	4367313	3138364	1480942	3651777	3978704	5272995	8568956	5519802	11459639	9543764	6218466	9216812	7115279	3291412	L-Cysteine
CHEBI:16040	C4H5N3O	Nc1cc[nH]c(=O)n1	InChI=1S/C4H5N3O/c5-3-1-2-6-4(8)7-3/h1-2H,(H3,5,6,7,8)	Cytosine																	253551	464890	532974	395965	285490	441089	220377	188510	318137	302314	232839	255556	234293	401293	292667	237922	395136	254581	243417	200818	152075	162968	176966	847930	14821781	10171083	11440835	17022050	6027866	17582419	1668406	3724974	710231	1645714	1406090	1915311	527406	477210	338571	390134	576759	495376	298090	182140	303344	309974	141162	277865	491375	521367	372745	207314	324182	299912	282591	204384	221239	326594	250354	Cytosine
CHEBI:15901	C4H6N2O2	O=C1CCNC(=O)N1	InChI=1S/C4H6N2O2/c7-3-1-2-5-4(8)6-3/h1-2H2,(H2,5,6,7,8)	Dihydrouracil																	110687	3758	7521	27369	94038	201599	113992	11212	5068	135192	0	81288	44905	28951	32883	1293284	128583	12289	425703	754543	515538	908087	22067	132469	359077	118080	115564	70749	16864	105587	119612	48817	24806	9626	14879	120876	1112886	13988	38000	43522	80289	11563	35520	8878	34389	22701	33734	19321	77309	117402	45942	497568	13160	648899	69342	556576	229764	71379	3703	Dihydrouracil
CHEBI:16108	C3H7O6P	OCC(=O)COP(O)(O)=O	InChI=1S/C3H7O6P/c4-1-3(5)2-9-10(6,7)8/h4H,1-2H2,(H2,6,7,8)	Dihydroxyacetone phosphate																	3753746	923356	1464863	2196060	2315702	3779261	3323978	2314218	1228864	1117753	1056856	2818674	2583680	804486	1005367	2871837	3623236	757276	1018762	2891905	3130008	5216266	4296796	1834073	4252653	3070143	7380290	1853393	4653559	1813254	1931710	5132475	1095159	954628	723542	2388698	3570703	1361684	3591694	1616148	5978290	1598073	963593	2105149	1296316	969995	2898831	918692	775751	1038077	964967	2426514	1817399	2712766	642389	2129004	2037917	712802	1647146	Dihydroxyacetone phosphate
CHEBI:17724	C4H9NO2	CN(C)CC(O)=O	InChI=1S/C4H9NO2/c1-5(2)3-4(6)7/h3H2,1-2H3,(H,6,7)	Dimethylglycine																	27272002	48329194	35714898	45674414	50656745	42983253	43895246	56776942	31886619	58305178	40490217	48011235	6077593	8513352	12247212	11801974	3392390	17091426	44520186	10898827	9169573	33475226	11058112	24722689	28547771	13082802	24643953	47058014	3950963	27667650	4534419	8921191	2586133	5006511	3283884	2490693	18031033	8582427	25042890	31167747	5458757	27586712	38762056	40258183	12318661	41464014	23941645	16246015	10502344	19187005	16145801	18323580	15534767	12523367	43804439	21912389	50462693	37682177	30026904	Dimethylglycine
CHEBI:27997	C18H34O2	CCCCCCCC\C=C\CCCCCCCC(O)=O	InChI=1S/C18H34O2/c1-2-3-4-5-6-7-8-9-10-11-12-13-14-15-16-17-18(19)20/h9-10H,2-8,11-17H2,1H3,(H,19,20)/b10-9+	Elaidic acid																	158593	149276	398049	187953	158138	251726	133839	182738	122198	149850	160435	232699	142797	108065	151101	122074	193315	116350	211302	226278	241560	495557	187823	686842	175596	165736	361513	135883	320078	669149	393454	428185	461095	775200	687850	657024	255429	213474	254594	415241	336985	261721	279039	215046	368719	241353	160591	321973	159197	187857	187956	103605	251641	113506	109659	161990	226853	134665	217147	Elaidic acid
